Project_ID,Planned_Duration,Actual_Duration,Completed_Work,Pending_Work,Delay_Days
P0375,180,189,89,11,9
P0376,180,187,29,71,7
P0377,180,185,28,72,5
P0378,180,186,91,9,6
P0379,180,190,54,46,10
P0380,180,192,38,62,12
P0381,180,188,62,38,8
P0382,180,191,64,36,11
P0383,180,187,68,32,7
P0384,180,195,12,88,15
P0385,180,187,29,71,7
P0386,180,188,5,95,8
P0387,180,192,61,39,12
P0388,180,185,73,27,5
P0389,180,188,34,66,8
P0390,180,193,42,58,13
P0391,180,193,47,53,13
P0392,180,184,67,33,4
P0393,180,186,77,23,6
P0394,180,184,94,6,4
P0395,180,184,93,7,4
P0396,180,192,44,56,12
P0397,180,189,54,46,9
P0398,180,186,81,19,6
P0399,180,191,84,16,11
P0400,180,188,45,55,8
P0401,180,185,23,77,5
P0402,180,188,8,92,8
P0403,180,198,18,82,18
P0404,180,194,45,55,14
P0405,180,186,46,54,6
P0406,180,182,94,6,2
P0407,180,197,18,82,17
P0408,180,183,43,57,3
P0409,180,186,56,44,6
P0410,180,189,51,49,9
P0411,180,180,81,19,0
P0412,180,195,35,65,15
P0413,180,192,51,49,12
P0414,180,184,61,39,4
P0415,180,194,53,47,14
P0416,180,193,43,57,13
P0417,180,194,40,60,14
P0418,180,190,5,95,10
P0419,180,191,5,95,11
P0420,180,185,97,3,5
P0421,180,187,34,66,7
P0422,180,193,16,84,13
P0423,180,192,11,89,12
P0424,180,194,35,65,14
P0425,180,184,81,19,4
P0426,180,196,6,94,16
P0427,180,189,94,6,9
P0428,180,188,90,10,8
P0429,180,185,22,78,5
P0430,180,188,71,29,8
P0431,180,181,61,39,1
P0432,180,193,21,79,13
P0433,180,190,16,84,10
P0434,180,195,27,73,15
P0435,180,183,51,49,3
P0436,180,185,92,8,5
P0437,180,189,20,80,9
P0438,180,183,99,1,3
P0439,180,194,49,51,14
P0440,180,185,27,73,5
P0441,180,193,54,46,13
P0442,180,187,78,22,7
P0443,180,181,63,37,1
P0444,180,185,57,43,5
P0445,180,191,46,54,11
P0446,180,180,81,19,0
P0447,180,193,41,59,13
P0448,180,189,89,11,9
P0449,180,184,35,65,4
P0450,180,180,88,12,0
P0451,180,188,34,66,8
P0452,180,192,78,22,12
P0453,180,194,57,43,14
P0454,180,188,51,49,8
P0455,180,186,91,9,6
P0456,180,188,95,5,8
P0457,180,197,19,81,17
P0458,180,182,52,48,2
P0459,180,185,97,3,5
P0460,180,195,11,89,15
P0461,180,186,60,40,6
P0462,180,193,15,85,13
P0463,180,189,79,21,9
P0464,180,187,64,36,7
P0465,180,186,65,35,6
P0466,180,195,30,70,15
P0467,180,187,97,3,7
P0468,180,194,34,66,14
P0469,180,183,95,5,3
P0470,180,182,96,4,2
P0471,180,190,97,3,10
P0472,180,191,12,88,11
P0473,180,183,99,1,3
P0474,180,193,31,69,13
P0475,180,192,27,73,12
P0476,180,187,61,39,7
P0477,180,194,56,44,14
P0478,180,186,65,35,6
P0479,180,192,67,33,12
P0480,180,191,35,65,11
P0481,180,185,92,8,5
P0482,180,192,63,37,12
P0483,180,192,59,41,12
P0484,180,197,17,83,17
P0485,180,194,46,54,14
P0486,180,185,38,62,5
P0487,180,185,29,71,5
P0488,180,183,85,15,3
P0489,180,195,49,51,15
P0490,180,186,12,88,6
P0491,180,188,93,7,8
P0492,180,184,43,57,4
P0493,180,195,12,88,15
P0494,180,185,46,54,5
P0495,180,182,62,38,2
P0496,180,183,61,39,3
P0497,180,180,100,0,0
P0498,180,184,74,26,4
P0499,180,187,51,49,7
P0500,180,192,35,65,12
P0501,180,188,66,34,8
P0502,180,195,35,65,15
P0503,180,185,44,56,5
P0504,180,192,75,25,12
P0505,180,187,14,86,7
P0506,180,199,5,95,19
P0507,180,187,36,64,7
P0508,180,188,58,42,8
P0509,180,195,12,88,15
P0510,180,195,35,65,15
P0511,180,183,58,42,3
P0512,180,186,36,64,6
P0513,180,196,5,95,16
P0514,180,189,32,68,9
P0515,180,181,79,21,1
P0516,180,185,68,32,5
P0517,180,187,63,37,7
P0518,180,184,63,37,4
P0519,180,196,22,78,16
P0520,180,197,7,93,17
P0521,180,190,34,66,10
P0522,180,188,9,91,8
P0523,180,194,40,60,14
P0524,180,189,78,22,9
P0525,180,192,43,57,12
P0526,180,190,7,93,10
P0527,180,181,100,0,1
P0528,180,186,11,89,6
P0529,180,195,44,56,15
P0530,180,184,78,22,4
P0531,180,190,75,25,10
P0532,180,180,84,16,0
P0533,180,192,80,20,12
P0534,180,192,69,31,12
P0535,180,189,15,85,9
P0536,180,185,68,32,5
P0537,180,187,54,46,7
P0538,180,193,36,64,13
P0539,180,184,42,58,4
P0540,180,186,23,77,6
P0541,180,185,74,26,5
P0542,180,185,25,75,5
P0543,180,189,95,5,9
P0544,180,186,45,55,6
P0545,180,188,25,75,8
P0546,180,183,56,44,3
P0547,180,195,40,60,15
P0548,180,180,94,6,0
P0549,180,188,54,46,8
P0550,180,196,7,93,16
P0551,180,185,30,70,5
P0552,180,187,100,0,7
P0553,180,189,72,28,9
P0554,180,187,42,58,7
P0555,180,185,52,48,5
P0556,180,192,41,59,12
P0557,180,187,22,78,7
P0558,180,184,63,37,4
P0559,180,189,41,59,9
P0560,180,187,62,38,7
P0561,180,185,30,70,5
P0562,180,185,26,74,5
P0563,180,186,42,58,6
P0564,180,184,63,37,4
P0565,180,184,47,53,4
P0566,180,188,19,81,8
P0567,180,187,80,20,7
P0568,180,183,93,7,3
P0569,180,186,61,39,6
P0570,180,187,87,13,7
P0571,180,188,90,10,8
P0572,180,191,87,13,11
P0573,180,182,91,9,2
P0574,180,191,23,77,11
P0575,180,186,11,89,6
P0576,180,189,95,5,9
P0577,180,185,73,27,5
P0578,180,195,15,85,15
P0579,180,190,21,79,10
P0580,180,191,5,95,11
P0581,180,195,18,82,15
P0582,180,189,94,6,9
P0583,180,185,97,3,5
P0584,180,186,98,2,6
P0585,180,184,60,40,4
P0586,180,192,75,25,12
P0587,180,191,76,24,11
P0588,180,190,88,12,10
P0589,180,187,17,83,7
P0590,180,185,55,45,5
P0591,180,191,79,21,11
P0592,180,193,60,40,13
P0593,180,185,75,25,5
P0594,180,197,27,73,17
P0595,180,184,85,15,4
P0596,180,194,21,79,14
P0597,180,183,60,40,3
P0598,180,193,28,72,13
P0599,180,188,73,27,8
P0600,180,192,72,28,12
P0601,180,190,83,17,10
P0602,180,185,98,2,5
P0603,180,188,18,82,8
P0604,180,183,99,1,3
P0605,180,191,15,85,11
P0606,180,187,16,84,7
P0607,180,192,79,21,12
P0608,180,191,24,76,11
P0609,180,190,95,5,10
P0610,180,191,43,57,11
P0611,180,197,13,87,17
P0612,180,191,78,22,11
P0613,180,191,73,27,11
P0614,180,187,94,6,7
P0615,180,193,23,77,13
P0616,180,182,83,17,2
P0617,180,191,70,30,11
P0618,180,190,37,63,10
P0619,180,187,58,42,7
P0620,180,196,28,72,16
P0621,180,185,80,20,5
P0622,180,186,40,60,6
P0623,180,194,20,80,14
P0624,180,195,38,62,15
P0625,180,186,20,80,6
P0626,180,185,98,2,5
P0627,180,184,66,34,4
P0628,180,187,58,42,7
P0629,180,191,70,30,11
P0630,180,186,90,10,6
P0631,180,182,98,2,2
P0632,180,187,9,91,7
P0633,180,194,53,47,14
P0634,180,196,19,81,16
P0635,180,188,69,31,8
P0636,180,196,37,63,16
P0637,180,180,91,9,0
P0638,180,186,41,59,6
P0639,180,189,6,94,9
P0640,180,192,70,30,12
P0641,180,186,16,84,6
P0642,180,195,37,63,15
P0643,180,184,42,58,4
P0644,180,185,23,77,5
P0645,180,193,9,91,13
P0646,180,192,80,20,12
P0647,180,192,62,38,12
P0648,180,193,67,33,13
P0649,180,189,45,55,9
P0650,180,186,50,50,6
P0651,180,187,25,75,7
P0652,180,181,82,18,1
P0653,180,192,12,88,12
P0654,180,187,92,8,7
P0655,180,193,68,32,13
P0656,180,189,46,54,9
P0657,180,192,8,92,12
P0658,180,192,58,42,12
P0659,180,190,14,86,10
P0660,180,180,98,2,0
P0661,180,190,19,81,10
P0662,180,188,80,20,8
P0663,180,188,97,3,8
P0664,180,192,58,42,12
P0665,180,193,47,53,13
P0666,180,184,86,14,4
P0667,180,195,34,66,15
P0668,180,182,53,47,2
P0669,180,189,69,31,9
P0670,180,180,89,11,0
P0671,180,186,20,80,6
P0672,180,185,95,5,5
P0673,180,187,70,30,7
P0674,180,191,22,78,11
P0675,180,187,100,0,7
P0676,180,187,79,21,7
P0677,180,186,60,40,6
P0678,180,188,21,79,8
P0679,180,188,28,72,8
P0680,180,194,42,58,14
P0681,180,195,19,81,15
P0682,180,183,52,48,3
P0683,180,189,87,13,9
P0684,180,192,15,85,12
P0685,180,188,81,19,8
P0686,180,190,60,40,10
P0687,180,194,52,48,14
P0688,180,185,90,10,5
P0689,180,189,80,20,9
P0690,180,195,41,59,15
P0691,180,193,60,40,13
P0692,180,189,10,90,9
P0693,180,190,74,26,10
P0694,180,180,84,16,0
P0695,180,181,88,12,1
P0696,180,187,16,84,7
P0697,180,194,12,88,14
P0698,180,190,45,55,10
P0699,180,186,14,86,6
P0700,180,185,59,41,5
P0701,180,199,6,94,19
P0702,180,187,24,76,7
P0703,180,195,36,64,15
P0704,180,180,82,18,0
P0705,180,194,22,78,14
P0706,180,180,99,1,0
P0707,180,198,5,95,18
P0708,180,185,98,2,5
P0709,180,182,75,25,2
P0710,180,195,15,85,15
P0711,180,192,66,34,12
P0712,180,190,20,80,10
P0713,180,190,17,83,10
P0714,180,181,88,12,1
P0715,180,185,51,49,5
P0716,180,188,92,8,8
P0717,180,193,60,40,13
P0718,180,183,60,40,3
P0719,180,191,73,27,11
P0720,180,189,30,70,9
P0721,180,188,32,68,8
P0722,180,186,86,14,6
P0723,180,187,98,2,7
P0724,180,187,33,67,7
P0725,180,192,24,76,12
P0726,180,188,5,95,8
P0727,180,181,100,0,1
P0728,180,195,42,58,15
P0729,180,183,41,59,3
P0730,180,189,25,75,9
P0731,180,187,42,58,7
P0732,180,187,64,36,7
P0733,180,190,12,88,10
P0734,180,185,50,50,5
P0735,180,192,10,90,12
P0736,180,189,81,19,9
P0737,180,184,87,13,4
P0738,180,181,95,5,1
P0739,180,194,12,88,14
P0740,180,187,75,25,7
P0741,180,190,9,91,10
P0742,180,192,78,22,12
P0743,180,185,39,61,5
P0744,180,186,75,25,6
P0745,180,183,43,57,3
P0746,180,195,33,67,15
P0747,180,189,88,12,9
P0748,180,191,5,95,11
P0749,180,198,8,92,18
P0750,180,188,37,63,8
P0751,180,196,35,65,16
P0752,180,184,84,16,4
P0753,180,190,6,94,10
P0754,180,191,85,15,11
P0755,180,191,30,70,11
P0756,180,190,64,36,10
P0757,180,180,91,9,0
P0758,180,185,80,20,5
P0759,180,195,33,67,15
P0760,180,184,51,49,4
P0761,180,197,16,84,17
P0762,180,187,10,90,7
P0763,180,193,5,95,13
P0764,180,190,98,2,10
P0765,180,184,50,50,4
P0766,180,186,89,11,6
P0767,180,186,36,64,6
P0768,180,193,14,86,13
P0769,180,189,44,56,9
P0770,180,188,62,38,8
P0771,180,184,50,50,4
P0772,180,190,86,14,10
P0773,180,188,61,39,8
P0774,180,186,43,57,6
P0775,180,187,80,20,7
P0776,180,186,48,52,6
P0777,180,184,70,30,4
P0778,180,180,100,0,0
P0779,180,185,49,51,5
P0780,180,184,93,7,4
P0781,180,191,15,85,11
P0782,180,191,12,88,11
P0783,180,193,40,60,13
P0784,180,181,92,8,1
P0785,180,188,12,88,8
P0786,180,185,60,40,5
P0787,180,188,44,56,8
P0788,180,185,26,74,5
P0789,180,191,73,27,11
P0790,180,196,25,75,16
P0791,180,189,58,42,9
P0792,180,196,18,82,16
P0793,180,187,50,50,7
P0794,180,188,22,78,8
P0795,180,186,28,72,6
P0796,180,188,87,13,8
P0797,180,194,19,81,14
P0798,180,189,8,92,9
P0799,180,181,82,18,1
P0800,180,193,16,84,13
P0801,180,181,81,19,1
P0802,180,188,28,72,8
P0803,180,188,88,12,8
P0804,180,187,77,23,7
P0805,180,187,78,22,7
P0806,180,192,32,68,12
P0807,180,182,52,48,2
P0808,180,185,96,4,5
P0809,180,181,69,31,1
P0810,180,188,13,87,8
P0811,180,185,41,59,5
P0812,180,190,11,89,10
P0813,180,184,83,17,4
P0814,180,188,72,28,8
P0815,180,193,54,46,13
P0816,180,193,50,50,13
P0817,180,186,39,61,6
P0818,180,188,82,18,8
P0819,180,191,62,38,11
P0820,180,185,78,22,5
P0821,180,185,93,7,5
P0822,180,191,47,53,11
P0823,180,191,37,63,11
P0824,180,191,72,28,11
P0825,180,192,59,41,12
P0826,180,180,88,12,0
P0827,180,184,54,46,4
P0828,180,185,53,47,5
P0829,180,191,42,58,11
P0830,180,187,23,77,7
P0831,180,183,77,23,3
P0832,180,188,13,87,8
P0833,180,195,28,72,15
P0834,180,190,42,58,10
P0835,180,181,71,29,1
P0836,180,191,15,85,11
P0837,180,192,45,55,12
P0838,180,186,99,1,6
P0839,180,186,14,86,6
P0840,180,184,76,24,4
P0841,180,199,10,90,19
P0842,180,187,98,2,7
P0843,180,187,9,91,7
P0844,180,192,46,54,12
P0845,180,182,95,5,2
P0846,180,188,79,21,8
P0847,180,183,70,30,3
P0848,180,196,10,90,16
P0849,180,194,30,70,14
P0850,180,188,96,4,8
P0851,180,188,19,81,8
P0852,180,185,87,13,5
P0853,180,192,59,41,12
P0854,180,183,92,8,3
P0855,180,191,42,58,11
P0856,180,194,13,87,14
P0857,180,186,30,70,6
P0858,180,184,37,63,4
P0859,180,182,76,24,2
P0860,180,185,100,0,5
P0861,180,183,75,25,3
P0862,180,196,22,78,16
P0863,180,185,79,21,5
P0864,180,192,17,83,12
P0865,180,195,9,91,15
P0866,180,192,21,79,12
P0867,180,186,97,3,6
P0868,180,188,100,0,8
P0869,180,185,34,66,5
P0870,180,188,63,37,8
P0871,180,183,56,44,3
P0872,180,187,16,84,7
P0873,180,195,15,85,15
P0874,180,195,15,85,15
P0875,180,191,39,61,11
P0876,180,197,19,81,17
P0877,180,187,86,14,7
P0878,180,182,63,37,2
P0879,180,183,49,51,3
P0880,180,186,72,28,6
P0881,180,188,9,91,8
P0882,180,188,30,70,8
P0883,180,180,72,28,0
P0884,180,181,100,0,1
P0885,180,188,10,90,8
P0886,180,188,79,21,8
P0887,180,190,13,87,10
P0888,180,190,78,22,10
P0889,180,196,22,78,16
P0890,180,190,56,44,10
P0891,180,184,62,38,4
P0892,180,194,23,77,14
P0893,180,193,37,63,13
P0894,180,188,25,75,8
P0895,180,185,70,30,5
P0896,180,194,22,78,14
P0897,180,192,25,75,12
P0898,180,193,9,91,13
P0899,180,198,9,91,18
P0900,180,196,17,83,16
P0901,180,192,40,60,12
P0902,180,194,43,57,14
P0903,180,189,94,6,9
P0904,180,188,62,38,8
P0905,180,187,59,41,7
P0906,180,187,88,12,7
P0907,180,188,16,84,8
P0908,180,183,55,45,3
P0909,180,182,92,8,2
P0910,180,184,57,43,4
P0911,180,193,30,70,13
P0912,180,187,39,61,7
P0913,180,184,87,13,4
P0914,180,189,45,55,9
P0915,180,198,14,86,18
P0916,180,192,55,45,12
P0917,180,193,42,58,13
P0918,180,183,90,10,3
P0919,180,186,46,54,6
P0920,180,185,86,14,5
P0921,180,185,49,51,5
P0922,180,186,29,71,6
P0923,180,187,64,36,7
P0924,180,188,76,24,8
P0925,180,183,74,26,3
P0926,180,194,47,53,14
P0927,180,184,53,47,4
P0928,180,184,79,21,4
P0929,180,188,74,26,8
P0930,180,182,75,25,2
P0931,180,187,56,44,7
P0932,180,190,16,84,10
P0933,180,189,87,13,9
P0934,180,186,45,55,6
P0935,180,184,71,29,4
P0936,180,195,6,94,15
P0937,180,190,23,77,10
P0938,180,189,95,5,9
P0939,180,189,97,3,9
P0940,180,190,50,50,10
P0941,180,183,41,59,3
P0942,180,189,62,38,9
P0943,180,190,86,14,10
P0944,180,186,49,51,6
P0945,180,191,31,69,11
P0946,180,187,48,52,7
P0947,180,184,89,11,4
P0948,180,195,35,65,15
P0949,180,184,100,0,4
P0950,180,188,71,29,8
P0951,180,195,43,57,15
P0952,180,189,29,71,9
P0953,180,184,51,49,4
P0954,180,190,37,63,10
P0955,180,193,49,51,13
P0956,180,183,97,3,3
P0957,180,189,53,47,9
P0958,180,181,97,3,1
P0959,180,185,38,62,5
P0960,180,187,26,74,7
P0961,180,184,56,44,4
P0962,180,180,95,5,0
P0963,180,188,17,83,8
P0964,180,197,20,80,17
P0965,180,183,62,38,3
P0966,180,189,63,37,9
P0967,180,191,83,17,11
P0968,180,195,41,59,15
P0969,180,190,64,36,10
P0970,180,182,56,44,2
P0971,180,184,66,34,4
P0972,180,186,28,72,6
P0973,180,186,99,1,6
P0974,180,188,56,44,8
P0975,180,189,37,63,9
P0976,180,185,52,48,5
P0977,180,184,85,15,4
P0978,180,195,40,60,15
P0979,180,194,5,95,14
P0980,180,188,30,70,8
P0981,180,199,7,93,19
P0982,180,182,64,36,2
P0983,180,186,37,63,6
P0984,180,191,27,73,11
P0985,180,195,27,73,15
P0986,180,186,64,36,6
P0987,180,189,10,90,9
P0988,180,186,78,22,6
P0989,180,189,12,88,9
P0990,180,186,36,64,6
P0991,180,193,45,55,13
P0992,180,181,83,17,1
P0993,180,190,90,10,10
