Project_ID,Budget,Material_Cost,Labor_Cost,Equipment_Cost,Total_Expense,Budget_Overrun
P0176,35511493,1530483,4117370,1220701,6868554,No
P0177,28176616,8677821,5592633,4128714,18399168,No
P0178,23481545,3530357,3248050,1808474,8586881,No
P0179,42057344,2403837,1020426,775430,4199693,No
P0180,26259507,3401072,4254108,4017074,11672254,No
P0181,6263029,996846,4051643,1734949,6783438,Yes
P0182,12482089,7762519,4839880,2346244,14948643,Yes
P0183,32673086,6259690,4251444,1708325,12219459,No
P0184,48459202,8820807,4456387,4421306,17698500,No
P0185,42697460,1914040,7825813,4875353,14615206,No
P0186,42874861,597832,3307082,2134620,6039534,No
P0187,19566874,2157669,5304646,2407416,9869731,No
P0188,10606788,6199759,1723462,3547002,11470223,Yes
P0189,29617269,4303982,3567146,159791,8030919,No
P0190,35842406,6842926,5687848,4908436,17439210,No
P0191,24078704,9055182,4031231,902515,13988928,No
P0192,34500382,6928359,3835249,4180086,14943694,No
P0193,12461063,1106945,2723257,256546,4086748,No
P0194,29392618,3770081,7377561,4264168,15411810,No
P0195,43981208,1172357,1012542,187997,2372896,No
P0196,11790691,2753745,6068991,4166762,12989498,Yes
P0197,14505931,5731262,4285850,3662396,13679508,No
P0198,31357352,5850560,5877032,1911773,13639365,No
P0199,33971687,3290922,1354972,3518171,8164065,No
P0200,33450312,3268847,7867907,2398383,13535137,No
P0201,16564779,1846700,4789724,663810,7300234,No
P0202,42784170,2362499,7559838,3163488,13085825,No
P0203,21994873,2368069,1647948,1610746,5626763,No
P0204,39154080,5552826,6311839,252676,12117341,No
P0205,10431891,6127385,6277147,2413670,14818202,Yes
P0206,40988259,7854365,7143362,3781650,18779377,No
P0207,29802579,2292140,2599703,1981528,6873371,No
P0208,30460991,2642908,5893354,2895734,11431996,No
P0209,41262096,5600080,3166207,1997692,10763979,No
P0210,18816233,3729704,4490398,2725093,10945195,No
P0211,27727627,1638719,809817,3080000,5528536,No
P0212,48789746,1626747,6745904,3994785,12367436,No
P0213,45179789,9736064,5912378,3340927,18989369,No
P0214,33962516,9881033,6051550,4984544,20917127,No
P0215,29445435,6717418,7587015,4199795,18504228,No
P0216,44302628,6957320,6559673,2960737,16477730,No
P0217,44813336,4345887,6866389,602245,11814521,No
P0218,8732351,4450962,4387503,1431722,10270187,Yes
P0219,26124358,1546946,3767509,3575942,8890397,No
P0220,45194851,2172836,7237478,516540,9926854,No
P0221,25503502,9079818,4871331,1972836,15923985,No
P0222,32397572,4542788,2012854,4976996,11532638,No
P0223,25086916,6120299,5331530,841066,12292895,No
P0224,45986768,4067834,7898810,4882193,16848837,No
P0225,8405127,5871811,6222142,4423971,16517924,Yes
P0226,17861909,7625376,1152534,1194782,9972692,No
P0227,30815772,9342742,4325020,4185952,17853714,No
P0228,9271985,3176803,6283433,437382,9897618,Yes
P0229,46971489,4993448,1975385,4428984,11397817,No
P0230,26930191,3161778,2262418,3176128,8600324,No
P0231,11899293,1514084,4064219,1754206,7332509,No
P0232,38739534,3010299,5713246,3439306,12162851,No
P0233,34706650,2051236,2509102,1480699,6041037,No
P0234,19087925,1483039,5243634,2119446,8846119,No
P0235,14856884,2137462,6513201,1777621,10428284,No
P0236,21376580,6829470,2906388,2518560,12254418,No
P0237,45311342,8325562,2308948,441151,11075661,No
P0238,46138118,1421004,5305363,3597938,10324305,No
P0239,36528501,4423536,488019,4689364,9600919,No
P0240,48678299,1614902,7342220,2491452,11448574,No
P0241,14141407,5042311,2666625,3112589,10821525,No
P0242,19069724,8266964,1425529,3251792,12944285,No
P0243,46251823,8804907,6206320,1037068,16048295,No
P0244,21700748,2376410,2431632,2695588,7503630,No
P0245,30710736,8245475,3664113,4668234,16577822,No
P0246,40296777,9849265,1932680,1233424,13015369,No
P0247,38913235,8942495,1376959,228022,10547476,No
P0248,40531603,7942962,3663310,407772,12014044,No
P0249,13041944,6211927,7490050,3575607,17277584,Yes
P0250,28848982,6938907,6827573,625880,14392360,No
P0251,34249904,6565876,7257637,3811074,17634587,No
P0252,47635980,3663548,5243232,2243008,11149788,No
P0253,32237602,3299923,934080,527851,4761854,No
P0254,12978626,4149221,2475921,1429665,8054807,No
P0255,47052348,6870168,5062015,437202,12369385,No
P0256,10502444,9202438,6764919,3450969,19418326,Yes
P0257,48404224,9554501,6368998,2551432,18474931,No
P0258,27242953,8952907,2892414,3241020,15086341,No
P0259,26573527,1167345,6322148,118226,7607719,No
P0260,19347491,2377353,6860568,3723504,12961425,No
P0261,9644210,7918750,4164495,878863,12962108,Yes
P0262,12718179,8527227,5679466,4058019,18264712,Yes
P0263,12979095,9482380,4522265,4914296,18918941,Yes
P0264,13848596,3305527,2476401,3988266,9770194,No
P0265,29073836,5841401,1288822,4004531,11134754,No
P0266,21037212,9021435,5906296,1593628,16521359,No
P0267,31395326,7640020,2755504,3475619,13871143,No
P0268,41723894,9294990,3974999,2722617,15992606,No
P0269,16829508,2317082,2286921,1517810,6121813,No
P0270,42371167,5337264,3991607,1339224,10668095,No
P0271,36799356,8725430,5694334,1020820,15440584,No
P0272,45814036,4614479,5537059,1252154,11403692,No
P0273,37945396,893650,5233487,1440882,7568019,No
P0274,10034015,9978572,2670358,2732632,15381562,Yes
P0275,9709905,5549967,7475154,2002914,15028035,Yes
P0276,34031402,8013157,2211299,3593388,13817844,No
P0277,47281562,3569496,4318620,4993128,12881244,No
P0278,49056438,2229963,2621497,1742511,6593971,No
P0279,6937066,1973534,2004553,3059140,7037227,Yes
P0280,23989308,9447704,6982208,2803656,19233568,No
P0281,22437138,5804716,2860453,4847913,13513082,No
P0282,22147950,778433,761269,1832864,3372566,No
P0283,13983885,7422235,7357464,3054184,17833883,Yes
P0284,48812088,6652041,6039693,3783563,16475297,No
P0285,23196329,5173204,2283984,4696529,12153717,No
P0286,26556948,6371372,7326506,1604019,15301897,No
P0287,20164712,4287155,4854237,301795,9443187,No
P0288,42872422,9575370,4610217,4474623,18660210,No
P0289,36079613,6799629,1195890,4860751,12856270,No
P0290,37669775,5939447,3279501,1333138,10552086,No
P0291,35485352,4318176,2832182,4717139,11867497,No
P0292,31492225,9349360,1548133,3747553,14645046,No
P0293,39987295,1995281,4248113,4892405,11135799,No
P0294,48041781,3170701,851941,1892248,5914890,No
P0295,38634756,3986303,1870753,427239,6284295,No
P0296,34578030,8729714,2214049,3814321,14758084,No
P0297,41166142,9690234,1235870,3855575,14781679,No
P0298,22037720,5448737,349227,1533453,7331417,No
P0299,11928024,8602705,7698609,3194533,19495847,Yes
P0300,26991013,3111587,835336,1204752,5151675,No
P0301,10503121,1954506,2000137,4251967,8206610,No
P0302,8332301,5652475,3245018,4709952,13607445,Yes
P0303,26397394,2425910,7334713,2508418,12269041,No
P0304,47489426,5162455,5449518,503652,11115625,No
P0305,15071781,1732438,3487264,1249721,6469423,No
P0306,24902357,7767497,4939513,2485252,15192262,No
P0307,28404115,3848458,6110241,2206604,12165303,No
P0308,32887047,3237626,4389095,773754,8400475,No
P0309,35653271,1574242,5187067,4526496,11287805,No
P0310,30244440,7505286,5486530,1804030,14795846,No
P0311,12415491,6742082,1250996,185349,8178427,No
P0312,43542946,2072393,1681940,472031,4226364,No
P0313,7929304,8237512,3211186,4254298,15702996,Yes
P0314,44054156,6139682,5724312,668055,12532049,No
P0315,28676878,1146279,1881149,3195080,6222508,No
P0316,34977559,2237669,5480753,4407835,12126257,No
P0317,40779709,3078131,3463661,3123757,9665549,No
P0318,49163714,9214460,1365211,2257885,12837556,No
P0319,45371754,4394022,3626783,1306028,9326833,No
P0320,19010476,8984792,6451365,1042985,16479142,No
P0321,37956761,561764,5777268,4436539,10775571,No
P0322,11961266,7312908,347292,3071748,10731948,No
P0323,8841444,1173450,2883160,3734664,7791274,No
P0324,29993565,5024837,5308811,2940583,13274231,No
P0325,44651978,6744420,5407444,4795029,16946893,No
P0326,19635403,2300360,1352788,2820393,6473541,No
P0327,14994711,8413885,4325327,1217071,13956283,No
P0328,23091983,1725808,4072940,2278885,8077633,No
P0329,15723161,7728426,2908539,2554965,13191930,No
P0330,10150044,6120901,7442463,4921606,18484970,Yes
P0331,26508558,1665733,740122,1226714,3632569,No
P0332,49643040,2871318,1416518,910982,5198818,No
P0333,20319255,3139888,6117170,3206633,12463691,No
P0334,22347976,909265,7098772,1711185,9719222,No
P0335,41373899,6711942,6841937,1376823,14930702,No
P0336,26558852,1431521,5494017,2752124,9677662,No
P0337,6583563,8921478,982545,4636638,14540661,Yes
P0338,25716305,7906948,2481279,183845,10572072,No
P0339,38929545,2139410,4246639,922103,7308152,No
P0340,31411313,8480434,7173818,220695,15874947,No
P0341,25031395,4202517,4953879,2004873,11161269,No
P0342,46681787,8153839,4766187,1191615,14111641,No
P0343,5108439,1604381,701947,509093,2815421,No
P0344,45569668,7196871,2687691,4218637,14103199,No
P0345,10644010,6072868,2693177,375324,9141369,No
P0346,38095268,7237138,5861751,4031032,17129921,No
P0347,18278163,815926,6181007,4822551,11819484,No
P0348,9174101,7704138,4784734,2653702,15142574,Yes
P0349,10814329,1588127,760770,1563363,3912260,No
P0350,48622610,5399610,3991219,2391707,11782536,No
P0351,47934479,5618814,3029573,4837569,13485956,No
P0352,9677523,5933245,5325988,4494611,15753844,Yes
P0353,22904829,6957579,6439787,2338875,15736241,No
P0354,28876956,3644217,1131816,1423390,6199423,No
P0355,34747709,4391373,7295308,1506355,13193036,No
P0356,41079229,8765292,6073452,4662584,19501328,No
P0357,25350587,5591865,7283634,2275495,15150994,No
P0358,17269747,3536387,1462922,2780639,7779948,No
P0359,46417696,6400097,5722575,747412,12870084,No
P0360,11500864,796257,3469456,4563032,8828745,No
P0361,40199928,3475753,4054743,1050876,8581372,No
P0362,49375892,9566103,5641917,379692,15587712,No
P0363,5583533,993036,3912719,1243789,6149544,Yes
P0364,48447495,6228566,7643449,2930131,16802146,No
P0365,35318636,4260691,3352328,2630927,10243946,No
P0366,15778904,4735099,3341440,4516830,12593369,No
P0367,36010616,6638401,4293034,3665745,14597180,No
P0368,21810944,5204496,6736058,140382,12080936,No
P0369,35400625,3512514,2742403,3224089,9479006,No
P0370,25986429,6622885,2975267,3156045,12754197,No
P0371,12264179,6252084,4203846,1050671,11506601,No
P0372,17930230,1640546,4554090,3719200,9913836,No
P0373,44397483,3169410,1212535,4998473,9380418,No
P0374,17851420,7432100,3074221,905531,11411852,No
P0375,45241047,1134804,5879202,1892756,8906762,No
P0376,16642408,7321762,4752276,380817,12454855,No
P0377,30103350,4877237,2992905,1497755,9367897,No
P0378,39922134,4429606,842754,2840229,8112589,No
P0379,19324065,8889064,7131807,4847408,20868279,Yes
P0380,14912189,3072589,7499236,3024636,13596461,No
P0381,45149569,4920917,5919413,3106650,13946980,No
P0382,16336680,9368357,4608179,4251505,18228041,Yes
P0383,6151178,1705428,709519,4822444,7237391,Yes
P0384,22022047,3762595,6394549,4038352,14195496,No
P0385,21684051,5566866,4403238,2761042,12731146,No
P0386,23291561,530090,1893984,2352673,4776747,No
P0387,36588855,3098556,4402269,448807,7949632,No
P0388,45765493,3028091,5909414,1390689,10328194,No
P0389,13787603,9551247,4061806,711989,14325042,Yes
P0390,9709838,7326904,3271972,912539,11511415,Yes
P0391,44302249,8327857,5978992,3529378,17836227,No
P0392,7898728,6428129,3653800,880181,10962110,Yes
P0393,22842228,3972402,4171614,1077458,9221474,No
P0394,32033454,6826478,3337581,3177363,13341422,No
P0395,24391954,8979061,4623472,827282,14429815,No
P0396,11290007,5578774,6166690,2627853,14373317,Yes
P0397,17153027,7020766,2076787,696994,9794547,No
P0398,9458429,7917381,3703329,2703970,14324680,Yes
P0399,43981406,7026224,5906518,801251,13733993,No
P0400,32747826,6213663,5309137,4699896,16222696,No
P0401,26178117,8443946,612280,2451920,11508146,No
P0402,40369847,4416780,1855765,2213247,8485792,No
P0403,46646191,2487636,2406015,1679944,6573595,No
P0404,36920744,3427938,7134791,2085665,12648394,No
P0405,14499395,2243765,4419421,3812934,10476120,No
P0406,22626146,4517588,5440169,2934572,12892329,No
P0407,28836838,5499523,6469316,3392336,15361175,No
P0408,17718361,2973866,7826423,2179630,12979919,No
P0409,6913473,937095,2928765,4040072,7905932,Yes
P0410,32494661,8810900,7860736,2570870,19242506,No
P0411,28678088,4563027,3031881,3648375,11243283,No
P0412,6552621,4986055,5922981,1336773,12245809,Yes
P0413,26831131,1126024,6644588,4968533,12739145,No
P0414,38271400,7358528,3818421,3903773,15080722,No
P0415,11917700,5096005,7507438,977275,13580718,Yes
P0416,35437774,6297581,3631229,4136362,14065172,No
P0417,32920276,5910688,6665589,1862509,14438786,No
P0418,30986313,1481050,3873267,4199913,9554230,No
P0419,49611258,5743382,5100711,607850,11451943,No
P0420,37929272,8475715,6493698,958127,15927540,No
P0421,40364628,9438927,1638711,1498143,12575781,No
P0422,29705461,636623,5021925,2997486,8656034,No
P0423,10495549,9843909,606277,4040067,14490253,Yes
P0424,26773363,9275273,916825,1805110,11997208,No
P0425,37511766,9261746,7251900,3134731,19648377,No
P0426,47088660,5876223,5771464,4788326,16436013,No
P0427,14022252,1658567,827823,4802124,7288514,No
P0428,36068087,4602943,2248795,2299476,9151214,No
P0429,22697344,3096892,1043628,661269,4801789,No
P0430,11359613,1631455,5792718,773678,8197851,No
P0431,23050766,4274420,6836060,2376782,13487262,No
P0432,30205230,7911634,4119340,291944,12322918,No
P0433,46689405,7087066,5336572,4415594,16839232,No
P0434,6900936,544350,3715921,1596344,5856615,No
P0435,40827681,9936722,6394323,3491554,19822599,No
P0436,12869549,9617021,3844970,1875127,15337118,Yes
P0437,40852676,7561851,3037432,1011186,11610469,No
P0438,19010592,9601510,7252173,4897800,21751483,Yes
P0439,42448989,7941221,3241565,524783,11707569,No
P0440,9891530,918305,5471024,4616749,11006078,Yes
P0441,30165284,2496312,4932915,1420680,8849907,No
P0442,26934875,9737703,1588184,1273449,12599336,No
P0443,7476567,8986640,7763843,1654246,18404729,Yes
P0444,37173431,5904272,6812411,3087072,15803755,No
P0445,40611170,2119760,470748,1875440,4465948,No
P0446,6538041,5299496,2115830,2638791,10054117,Yes
P0447,37582441,9667278,5762689,2523407,17953374,No
P0448,32140886,4469189,685769,2683051,7838009,No
P0449,42144552,9990138,5451097,1771501,17212736,No
P0450,17195159,4198715,6076926,870974,11146615,No
P0451,38854111,9507281,1011741,1492069,12011091,No
P0452,43072425,8558841,6105182,2628467,17292490,No
P0453,42842332,961052,4241380,3627209,8829641,No
P0454,21085481,9736373,6156919,1485907,17379199,No
P0455,26609311,7141063,2527508,4365649,14034220,No
P0456,25900131,7651035,4146978,4728460,16526473,No
P0457,14636055,4963992,7766079,2675556,15405627,Yes
P0458,46283006,954265,7867547,2881991,11703803,No
P0459,29859363,2515678,1611979,1539361,5667018,No
P0460,40699745,7665080,6184047,803993,14653120,No
P0461,43423568,4347294,947005,4023049,9317348,No
P0462,18666942,6098180,1603829,4765108,12467117,No
P0463,45719276,1115945,7426909,2144999,10687853,No
P0464,8751633,6032001,7129758,3245615,16407374,Yes
P0465,41691222,7760229,1480088,2930784,12171101,No
P0466,6618367,2873230,5244820,1672592,9790642,Yes
P0467,26303230,6550761,2140031,2390712,11081504,No
P0468,47538335,9223196,6164456,1292195,16679847,No
P0469,34954080,3390888,5791123,2479612,11661623,No
P0470,48053828,7347342,1184372,4658668,13190382,No
P0471,25337134,2583145,4178625,1610247,8372017,No
P0472,26806572,1875180,4277618,2059849,8212647,No
P0473,47991903,6660731,2984680,4253711,13899122,No
P0474,37417920,6660946,7573604,3933764,18168314,No
P0475,27565756,6996921,7651127,4183708,18831756,No
P0476,38199686,9982656,7929147,1839471,19751274,No
P0477,5744956,6990869,7712824,3982726,18686419,Yes
P0478,22698715,8644062,3507449,492462,12643973,No
P0479,13903952,3019739,4782478,650943,8453160,No
P0480,46340611,6176818,5582711,3487419,15246948,No
P0481,10587955,5236879,345979,2087386,7670244,No
P0482,43764482,8710234,1525620,1924027,12159881,No
P0483,30162926,9443803,4007935,3761320,17213058,No
P0484,11129471,2894044,1073744,4530441,8498229,No
P0485,24370263,6026765,2421852,4519293,12967910,No
P0486,46516243,9333546,5015991,3635639,17985176,No
P0487,29526353,7202290,5010172,2667523,14879985,No
P0488,17176784,9053714,7500020,3485640,20039374,Yes
P0489,26223141,6744068,2431067,4485627,13660762,No
P0490,22067611,9115540,5255098,2060086,16430724,No
P0491,35255299,1343308,3330366,4792249,9465923,No
P0492,46754746,2117799,2306937,3103980,7528716,No
P0493,47905375,6713186,650215,2221971,9585372,No
P0494,41160305,5433022,1316678,2556473,9306173,No
P0495,10646842,660502,7138781,4765837,12565120,Yes
P0496,18608223,6850880,5121949,3972147,15944976,No
P0497,22685191,4233745,5731172,2124673,12089590,No
P0498,44316348,5919858,3830804,303044,10053706,No
P0499,31697589,2352057,4248799,1820092,8420948,No
P0500,16253205,7055622,5094750,129685,12280057,No
P0501,40624011,6906178,2342387,2267438,11516003,No
P0502,15778176,3782626,1941261,4703426,10427313,No
P0503,44584790,3881281,6602078,2717952,13201311,No
P0504,31756441,4763348,2594189,1214514,8572051,No
P0505,22727774,2208575,444488,4861304,7514367,No
P0506,22063931,6941658,511929,2599712,10053299,No
P0507,33831610,9407454,5670194,367289,15444937,No
P0508,18568404,3879909,7813835,307531,12001275,No
P0509,24327988,4995481,7180540,2548811,14724832,No
P0510,25723021,4892052,1123913,4393380,10409345,No
P0511,34548438,9371193,6270710,1752768,17394671,No
P0512,9309720,6804212,721753,3948118,11474083,Yes
P0513,27921534,6941086,7385238,2824185,17150509,No
P0514,41910436,4592445,3146381,3834886,11573712,No
P0515,44963957,8606633,4685901,4197377,17489911,No
P0516,27753018,1290097,4777109,481553,6548759,No
P0517,19064997,6849136,581632,1248732,8679500,No
P0518,47286938,3865539,6829291,4702949,15397779,No
P0519,24841187,2376697,7290921,3175120,12842738,No
P0520,47539232,5925442,4489575,3390893,13805910,No
P0521,24167579,3436993,5105866,3562016,12104875,No
P0522,34028875,9370145,3455814,1674418,14500377,No
P0523,16463744,3586565,1720014,394873,5701452,No
P0524,37571888,7765924,6862749,4377906,19006579,No
P0525,22060747,9232834,7852062,1077119,18162015,No
P0526,32722494,5723275,3173380,3239729,12136384,No
P0527,10565611,8491634,2166178,1263243,11921055,Yes
P0528,8373474,577587,1604025,1633144,3814756,No
P0529,29782634,9870534,7509574,365826,17745934,No
P0530,34050422,4717996,3574546,2006656,10299198,No
P0531,26739129,1764062,3507417,1840695,7112174,No
P0532,44371901,4608117,1896093,467198,6971408,No
P0533,20637388,2911225,1742504,1124331,5778060,No
P0534,30605881,7110013,7675567,4713364,19498944,No
P0535,25015495,4672755,429615,1472861,6575231,No
