Project_ID,Concrete_Strength,Steel_Quality,Cracks,Quality_Risk
P0406,36,Poor,No,Medium
P0407,21,Good,No,Low
P0408,36,Good,No,Medium
P0409,21,Good,Yes,High
P0410,50,Good,No,Low
P0411,34,Average,No,Medium
P0412,49,Poor,Yes,Medium
P0413,31,Good,Yes,Medium
P0414,41,Poor,No,Low
P0415,47,Average,Yes,Medium
P0416,27,Average,Yes,High
P0417,46,Average,Yes,Low
P0418,49,Average,No,High
P0419,49,Average,No,High
P0420,20,Poor,Yes,High
P0421,37,Poor,No,Low
P0422,31,Poor,Yes,Medium
P0423,33,Poor,No,Medium
P0424,41,Poor,No,Medium
P0425,39,Average,Yes,Medium
P0426,43,Good,Yes,Medium
P0427,37,Average,Yes,Medium
P0428,46,Good,Yes,High
P0429,44,Average,No,Medium
P0430,45,Good,Yes,Low
P0431,22,Good,Yes,High
P0432,44,Average,Yes,High
P0433,20,Good,Yes,Low
P0434,40,Poor,No,Medium
P0435,28,Good,No,High
P0436,22,Good,No,High
P0437,48,Poor,No,Low
P0438,50,Good,Yes,Medium
P0439,23,Average,No,High
P0440,21,Good,Yes,Low
P0441,32,Good,No,High
P0442,43,Poor,Yes,Low
P0443,50,Poor,No,High
P0444,25,Good,No,Medium
P0445,47,Good,Yes,Medium
P0446,50,Poor,Yes,Medium
P0447,50,Poor,Yes,Low
P0448,24,Good,No,Medium
P0449,22,Average,Yes,Medium
P0450,30,Poor,No,Low
P0451,21,Average,Yes,Medium
P0452,46,Good,Yes,Medium
P0453,37,Poor,Yes,Low
P0454,38,Average,No,Medium
P0455,48,Poor,Yes,High
P0456,24,Poor,No,Medium
P0457,24,Average,Yes,Low
P0458,29,Average,No,Low
P0459,26,Average,Yes,Low
P0460,22,Poor,Yes,Low
P0461,40,Good,Yes,Medium
P0462,29,Poor,Yes,Low
P0463,23,Poor,Yes,High
P0464,43,Good,Yes,Medium
P0465,33,Good,No,Low
P0466,42,Good,No,High
P0467,38,Poor,Yes,Low
P0468,38,Average,Yes,High
P0469,22,Good,Yes,High
P0470,24,Average,No,High
P0471,25,Good,No,Medium
P0472,42,Average,No,High
P0473,28,Good,No,High
P0474,38,Average,Yes,Medium
P0475,29,Poor,No,Medium
P0476,24,Good,Yes,High
P0477,43,Good,Yes,Medium
P0478,38,Poor,Yes,Medium
P0479,41,Good,Yes,High
P0480,27,Average,No,Medium
P0481,32,Good,No,Medium
P0482,48,Poor,Yes,High
P0483,21,Average,No,Low
P0484,48,Good,No,Low
P0485,30,Poor,Yes,High
P0486,43,Poor,No,Medium
P0487,29,Good,Yes,Medium
P0488,37,Average,No,Medium
P0489,48,Poor,No,Medium
P0490,37,Good,Yes,Low
P0491,39,Average,No,High
P0492,30,Poor,Yes,Medium
P0493,39,Good,Yes,Low
P0494,36,Poor,No,Low
P0495,34,Poor,Yes,High
P0496,41,Poor,No,Low
P0497,25,Good,Yes,Low
P0498,34,Poor,Yes,High
P0499,33,Average,No,Medium
P0500,44,Average,No,High
P0501,47,Good,No,Low
P0502,40,Good,No,High
P0503,20,Good,No,Medium
P0504,39,Poor,No,High
P0505,49,Average,Yes,Low
P0506,30,Average,Yes,High
P0507,23,Average,No,Low
P0508,26,Good,Yes,Medium
P0509,46,Good,Yes,Medium
P0510,48,Good,No,High
P0511,45,Good,No,Medium
P0512,47,Good,Yes,High
P0513,31,Poor,Yes,High
P0514,47,Good,Yes,Medium
P0515,25,Good,Yes,High
P0516,43,Good,No,High
P0517,39,Good,No,Medium
P0518,38,Average,Yes,Low
P0519,32,Poor,Yes,Low
P0520,48,Poor,No,High
P0521,25,Average,No,High
P0522,40,Poor,No,Medium
P0523,45,Average,Yes,Medium
P0524,26,Poor,No,High
P0525,37,Good,Yes,Low
P0526,36,Poor,Yes,Low
P0527,36,Average,Yes,Medium
P0528,38,Good,Yes,High
P0529,27,Poor,Yes,Low
P0530,47,Average,Yes,Low
P0531,25,Average,Yes,High
P0532,29,Good,No,Low
P0533,38,Poor,Yes,Low
P0534,47,Average,Yes,High
P0535,39,Average,Yes,Medium
P0536,42,Average,Yes,Medium
P0537,34,Poor,No,Low
P0538,28,Good,Yes,High
P0539,34,Average,Yes,Medium
P0540,21,Poor,Yes,Medium
P0541,22,Average,Yes,Medium
P0542,37,Poor,Yes,Medium
P0543,32,Poor,No,High
P0544,27,Poor,Yes,Medium
P0545,36,Average,No,High
P0546,34,Good,Yes,High
P0547,40,Average,Yes,Medium
P0548,36,Good,Yes,Medium
P0549,39,Good,No,Medium
P0550,31,Poor,No,High
P0551,42,Poor,Yes,High
P0552,29,Good,Yes,High
P0553,20,Average,Yes,High
P0554,46,Good,No,Medium
P0555,39,Average,Yes,High
P0556,49,Poor,No,Medium
P0557,41,Good,No,High
P0558,41,Good,Yes,Low
P0559,20,Poor,Yes,Medium
P0560,34,Good,No,High
P0561,38,Average,No,High
P0562,42,Average,No,High
P0563,37,Average,No,High
P0564,24,Poor,No,High
P0565,34,Poor,Yes,Low
P0566,34,Poor,No,Low
P0567,24,Average,No,High
P0568,31,Good,Yes,Medium
P0569,22,Poor,Yes,High
P0570,44,Good,Yes,High
P0571,25,Poor,Yes,High
P0572,41,Average,No,Low
P0573,39,Good,Yes,Low
P0574,50,Poor,No,Low
P0575,43,Poor,No,Low
P0576,34,Average,No,Low
P0577,49,Poor,No,High
P0578,39,Poor,Yes,Low
P0579,35,Average,Yes,High
P0580,39,Average,Yes,High
P0581,21,Average,Yes,High
P0582,47,Average,Yes,Medium
P0583,45,Average,No,Medium
P0584,38,Average,Yes,Medium
P0585,35,Average,Yes,Low
P0586,50,Poor,No,Low
P0587,28,Average,Yes,High
P0588,24,Average,Yes,High
P0589,48,Good,No,Low
P0590,29,Average,No,Low
P0591,23,Poor,Yes,Medium
P0592,23,Average,No,Low
P0593,47,Average,No,Low
P0594,22,Poor,Yes,Medium
P0595,37,Poor,Yes,High
P0596,26,Good,No,High
P0597,31,Good,No,High
P0598,41,Average,No,Medium
P0599,28,Average,No,High
P0600,50,Average,No,Low
P0601,44,Good,Yes,Low
P0602,50,Good,No,High
P0603,42,Good,Yes,Low
P0604,40,Good,Yes,Low
P0605,33,Poor,Yes,Medium
P0606,22,Good,Yes,Low
P0607,40,Good,Yes,High
P0608,29,Average,Yes,Low
P0609,40,Poor,No,Low
P0610,28,Poor,No,High
P0611,34,Good,No,Low
P0612,49,Good,Yes,Medium
P0613,20,Good,No,Medium
P0614,45,Poor,No,Medium
P0615,30,Average,No,Low
P0616,38,Good,Yes,Medium
P0617,39,Poor,Yes,Low
P0618,25,Good,No,Medium
P0619,23,Good,No,High
P0620,43,Poor,No,Low
P0621,39,Poor,Yes,Medium
P0622,41,Average,Yes,Medium
P0623,23,Good,Yes,Low
P0624,35,Poor,No,Medium
P0625,48,Poor,No,High
P0626,43,Good,Yes,Medium
P0627,45,Poor,No,Low
P0628,26,Good,No,Medium
P0629,39,Good,No,Low
P0630,47,Good,Yes,High
P0631,23,Good,Yes,Medium
P0632,44,Average,Yes,Low
P0633,24,Poor,No,Low
P0634,49,Good,Yes,Low
P0635,20,Average,No,Low
P0636,26,Poor,Yes,High
P0637,50,Poor,Yes,Medium
P0638,27,Good,No,High
P0639,48,Good,Yes,Medium
P0640,30,Good,Yes,High
P0641,39,Poor,Yes,Medium
P0642,37,Good,Yes,Medium
P0643,46,Average,Yes,High
P0644,45,Poor,Yes,Medium
P0645,39,Poor,Yes,Low
P0646,38,Poor,Yes,Medium
P0647,24,Poor,No,High
P0648,44,Poor,Yes,Low
P0649,28,Good,Yes,Low
P0650,26,Poor,Yes,Low
P0651,22,Poor,No,High
P0652,47,Good,No,High
P0653,31,Good,Yes,Low
P0654,46,Good,No,High
P0655,37,Poor,Yes,Medium
P0656,22,Good,No,Medium
P0657,29,Poor,Yes,Low
P0658,38,Average,No,Low
P0659,30,Average,Yes,Low
P0660,29,Average,No,Medium
P0661,37,Average,No,High
P0662,35,Good,No,High
P0663,43,Average,Yes,Medium
P0664,37,Poor,No,High
P0665,44,Average,No,High
P0666,36,Good,Yes,Medium
P0667,21,Poor,Yes,Medium
P0668,32,Average,No,High
P0669,31,Good,No,Low
P0670,32,Good,No,High
P0671,49,Poor,Yes,Low
P0672,22,Good,No,Medium
P0673,26,Good,Yes,Low
P0674,48,Poor,Yes,Low
P0675,27,Average,No,High
P0676,20,Poor,Yes,High
P0677,37,Poor,No,Low
P0678,44,Poor,No,High
P0679,39,Average,Yes,Low
P0680,49,Average,No,Medium
P0681,35,Average,No,High
P0682,46,Good,Yes,Medium
P0683,20,Good,No,Low
P0684,35,Good,No,High
P0685,36,Average,No,Medium
P0686,47,Poor,No,High
P0687,39,Average,Yes,Low
P0688,37,Average,Yes,High
P0689,43,Poor,No,Low
P0690,47,Good,No,Medium
P0691,49,Good,No,High
P0692,36,Poor,No,High
P0693,22,Poor,No,High
P0694,34,Good,No,Low
P0695,50,Average,Yes,High
P0696,50,Average,No,High
P0697,25,Good,Yes,High
P0698,50,Poor,No,Medium
P0699,20,Average,Yes,High
P0700,46,Poor,No,High
P0701,49,Good,Yes,Medium
P0702,29,Poor,No,Medium
P0703,45,Poor,No,Medium
P0704,23,Good,Yes,High
P0705,48,Average,No,High
P0706,39,Poor,Yes,High
P0707,25,Poor,Yes,High
P0708,26,Good,No,Medium
P0709,46,Good,No,Low
P0710,37,Poor,Yes,Low
P0711,21,Poor,Yes,High
P0712,35,Poor,No,Medium
P0713,50,Good,Yes,High
P0714,20,Average,No,Low
P0715,37,Good,Yes,High
P0716,21,Poor,No,Medium
P0717,28,Poor,No,Low
P0718,27,Poor,Yes,Medium
P0719,24,Average,Yes,High
P0720,47,Average,No,Low
P0721,29,Good,Yes,Low
P0722,38,Good,Yes,Low
P0723,49,Average,Yes,Low
P0724,37,Good,No,High
P0725,21,Average,Yes,Low
P0726,21,Poor,No,Low
P0727,26,Good,Yes,High
P0728,23,Poor,Yes,High
P0729,35,Poor,Yes,High
P0730,29,Good,No,High
P0731,26,Poor,Yes,High
P0732,46,Poor,No,High
P0733,33,Average,Yes,Medium
P0734,40,Average,Yes,Medium
P0735,50,Average,Yes,High
P0736,49,Good,Yes,Medium
P0737,50,Poor,No,High
P0738,28,Good,Yes,Low
P0739,48,Good,No,Low
P0740,22,Poor,No,High
P0741,27,Good,Yes,Medium
P0742,42,Average,Yes,High
P0743,20,Average,No,High
P0744,31,Average,Yes,Medium
P0745,32,Average,No,High
P0746,37,Average,Yes,Low
P0747,31,Good,No,Low
P0748,29,Poor,Yes,High
P0749,23,Poor,No,High
P0750,23,Poor,No,Low
P0751,20,Poor,No,High
P0752,37,Average,No,Medium
P0753,28,Good,No,High
P0754,41,Good,No,High
P0755,41,Good,No,Medium
P0756,31,Average,Yes,Medium
P0757,32,Poor,Yes,High
P0758,50,Average,No,High
P0759,34,Poor,Yes,Medium
P0760,29,Average,No,Medium
P0761,35,Good,No,Low
P0762,38,Average,No,High
P0763,37,Poor,Yes,Medium
P0764,24,Average,No,Low
P0765,21,Average,Yes,High
P0766,28,Good,Yes,Medium
P0767,36,Good,No,Low
P0768,42,Poor,Yes,High
P0769,36,Poor,No,High
P0770,26,Good,Yes,Medium
P0771,37,Average,No,Medium
P0772,26,Average,No,Medium
P0773,29,Average,Yes,Low
P0774,49,Poor,Yes,High
P0775,28,Poor,No,Low
P0776,26,Average,Yes,Low
P0777,48,Average,Yes,Medium
P0778,23,Good,Yes,High
P0779,36,Poor,Yes,Medium
P0780,23,Average,No,Low
P0781,28,Poor,No,Medium
P0782,50,Good,No,Medium
P0783,25,Poor,Yes,Low
P0784,30,Poor,No,Low
P0785,35,Average,No,Medium
P0786,34,Average,No,High
P0787,29,Poor,Yes,High
P0788,28,Poor,No,Low
P0789,23,Good,Yes,Low
P0790,29,Average,No,Low
P0791,46,Average,No,High
P0792,36,Good,Yes,High
P0793,26,Poor,Yes,Medium
P0794,49,Average,Yes,High
P0795,38,Good,No,Low
P0796,28,Good,No,Low
P0797,34,Good,Yes,Medium
P0798,42,Average,No,High
P0799,34,Poor,No,Low
P0800,49,Good,Yes,High
P0801,44,Average,No,Medium
P0802,47,Average,Yes,High
P0803,36,Average,Yes,Medium
P0804,48,Poor,No,Low
P0805,39,Good,No,Low
P0806,47,Average,Yes,High
P0807,43,Average,Yes,Low
P0808,24,Poor,No,Low
P0809,45,Average,Yes,Medium
P0810,38,Average,Yes,Medium
P0811,49,Good,Yes,Low
P0812,35,Average,Yes,Medium
P0813,37,Average,No,Low
P0814,47,Good,No,High
P0815,26,Average,No,Medium
P0816,50,Average,No,High
P0817,43,Average,Yes,Medium
P0818,20,Good,No,High
P0819,23,Poor,No,Medium
P0820,42,Good,No,Low
P0821,50,Average,No,Medium
P0822,37,Poor,No,High
P0823,44,Poor,Yes,Low
P0824,30,Poor,No,Low
P0825,30,Average,No,Low
P0826,23,Poor,No,Low
P0827,44,Average,Yes,High
P0828,37,Poor,No,Low
P0829,29,Good,No,Low
P0830,26,Average,Yes,Low
P0831,40,Poor,Yes,High
P0832,27,Average,Yes,High
P0833,38,Good,Yes,High
P0834,26,Average,Yes,High
P0835,23,Good,Yes,High
P0836,46,Average,Yes,Medium
P0837,20,Good,Yes,High
P0838,38,Average,No,Low
P0839,33,Poor,Yes,Low
P0840,45,Average,No,High
P0841,43,Poor,No,Low
P0842,28,Average,No,High
P0843,48,Poor,No,Medium
P0844,35,Poor,No,Low
P0845,49,Average,No,High
P0846,37,Average,No,Low
P0847,41,Average,No,Low
P0848,47,Average,No,High
P0849,31,Good,Yes,Medium
P0850,49,Poor,Yes,Low
P0851,33,Average,No,Low
P0852,45,Good,Yes,High
P0853,39,Average,No,Medium
P0854,24,Poor,No,Medium
P0855,40,Poor,No,High
P0856,25,Poor,No,Medium
P0857,42,Poor,No,High
P0858,28,Poor,No,Low
P0859,40,Good,No,Medium
P0860,37,Average,No,Low
P0861,33,Poor,No,Medium
P0862,31,Good,No,Medium
P0863,48,Good,No,Medium
P0864,38,Good,No,Low
P0865,46,Good,Yes,High
P0866,32,Good,Yes,Medium
P0867,28,Average,Yes,High
P0868,48,Good,Yes,Medium
P0869,27,Poor,No,High
P0870,44,Poor,Yes,Low
P0871,33,Good,No,Low
P0872,24,Average,Yes,Low
P0873,22,Poor,No,High
P0874,42,Good,Yes,Low
P0875,38,Good,No,Medium
P0876,25,Poor,Yes,Medium
P0877,49,Good,Yes,Medium
P0878,46,Average,Yes,High
P0879,50,Good,No,Low
P0880,46,Good,No,Medium
P0881,34,Average,Yes,Low
P0882,28,Good,Yes,High
P0883,46,Poor,No,High
P0884,32,Good,Yes,Low
P0885,47,Good,No,High
P0886,39,Poor,Yes,Low
P0887,26,Average,No,Medium
P0888,27,Good,No,Medium
P0889,28,Poor,Yes,Medium
P0890,49,Poor,No,High
P0891,32,Average,Yes,Medium
P0892,49,Average,No,Medium
P0893,30,Poor,Yes,High
P0894,43,Poor,No,High
P0895,40,Good,Yes,High
P0896,36,Average,Yes,Low
P0897,44,Poor,Yes,Medium
P0898,28,Good,Yes,Low
P0899,34,Good,Yes,Medium
P0900,46,Good,Yes,High
P0901,35,Average,No,Low
P0902,37,Average,No,High
P0903,21,Good,No,Medium
P0904,37,Poor,No,Low
P0905,45,Good,Yes,Low
P0906,39,Poor,No,High
P0907,25,Average,No,High
P0908,39,Average,Yes,Medium
P0909,33,Poor,No,Low
P0910,49,Average,No,High
