Project_ID,Equipment,Working,Maintenance,Failure,Age
P0219,Crane,Yes,No,No,13
P0220,Excavator,Yes,Yes,No,6
P0221,Loader,Yes,No,Yes,4
P0222,Mixer,No,Yes,Yes,6
P0223,Bulldozer,Yes,No,Yes,4
P0224,Loader,Yes,No,No,1
P0225,Bulldozer,Yes,No,No,11
P0226,Excavator,Yes,Yes,No,7
P0227,Mixer,Yes,No,No,3
P0228,Mixer,No,Yes,No,6
P0229,Loader,No,Yes,No,3
P0230,Bulldozer,No,No,Yes,10
P0231,Bulldozer,Yes,Yes,Yes,13
P0232,Loader,No,Yes,No,8
P0233,Bulldozer,No,No,No,6
P0234,Bulldozer,Yes,Yes,Yes,8
P0235,Bulldozer,Yes,No,No,8
P0236,Excavator,No,Yes,No,15
P0237,Excavator,No,No,No,13
P0238,Bulldozer,No,No,Yes,6
P0239,Mixer,No,Yes,No,15
P0240,Loader,No,No,No,1
P0241,Loader,No,Yes,No,1
P0242,Crane,Yes,No,Yes,12
P0243,Crane,Yes,No,No,13
P0244,Excavator,Yes,Yes,Yes,11
P0245,Crane,No,Yes,No,4
P0246,Crane,No,Yes,No,8
P0247,Crane,No,Yes,Yes,4
P0248,Crane,No,No,Yes,15
P0249,Crane,No,No,Yes,2
P0250,Loader,Yes,Yes,No,3
P0251,Excavator,Yes,No,Yes,6
P0252,Mixer,Yes,Yes,Yes,2
P0253,Crane,No,No,No,10
P0254,Loader,No,Yes,No,1
P0255,Crane,Yes,No,Yes,2
P0256,Crane,No,No,No,13
P0257,Bulldozer,Yes,No,No,11
P0258,Bulldozer,No,Yes,No,2
P0259,Mixer,No,No,Yes,1
P0260,Loader,No,Yes,Yes,1
P0261,Mixer,No,Yes,Yes,15
P0262,Mixer,Yes,No,Yes,5
P0263,Mixer,Yes,Yes,Yes,9
P0264,Crane,No,No,No,10
P0265,Loader,No,Yes,No,1
P0266,Mixer,Yes,Yes,No,14
P0267,Crane,No,No,No,10
P0268,Crane,No,Yes,Yes,11
P0269,Crane,Yes,No,No,13
P0270,Excavator,Yes,No,No,5
P0271,Crane,Yes,Yes,Yes,15
P0272,Crane,No,Yes,Yes,8
P0273,Loader,Yes,Yes,Yes,10
P0274,Mixer,No,No,Yes,8
P0275,Crane,No,No,No,12
P0276,Bulldozer,Yes,Yes,No,11
P0277,Crane,Yes,No,Yes,11
P0278,Mixer,Yes,Yes,Yes,6
P0279,Loader,Yes,Yes,Yes,13
P0280,Excavator,Yes,No,Yes,8
P0281,Excavator,No,Yes,Yes,10
P0282,Crane,Yes,Yes,Yes,3
P0283,Mixer,Yes,No,No,8
P0284,Bulldozer,No,No,No,3
P0285,Bulldozer,Yes,No,No,12
P0286,Crane,Yes,Yes,No,3
P0287,Loader,Yes,Yes,No,3
P0288,Mixer,No,No,No,4
P0289,Loader,No,Yes,No,15
P0290,Loader,Yes,No,Yes,15
P0291,Excavator,Yes,No,Yes,4
P0292,Loader,No,No,Yes,4
P0293,Crane,No,No,No,12
P0294,Mixer,Yes,Yes,No,7
P0295,Mixer,Yes,No,No,10
P0296,Mixer,Yes,Yes,No,5
P0297,Bulldozer,No,Yes,No,11
P0298,Excavator,No,No,No,7
P0299,Crane,Yes,No,Yes,5
P0300,Loader,Yes,Yes,Yes,5
P0301,Loader,No,Yes,Yes,11
P0302,Loader,Yes,No,No,1
P0303,Mixer,Yes,Yes,Yes,15
P0304,Bulldozer,Yes,No,No,12
P0305,Bulldozer,No,No,No,2
P0306,Crane,No,No,No,13
P0307,Bulldozer,Yes,No,Yes,1
P0308,Bulldozer,No,Yes,No,11
P0309,Mixer,Yes,No,No,8
P0310,Bulldozer,No,Yes,No,10
P0311,Excavator,Yes,Yes,No,10
P0312,Bulldozer,Yes,No,Yes,14
P0313,Loader,Yes,Yes,No,6
P0314,Mixer,Yes,No,Yes,4
P0315,Bulldozer,Yes,No,No,7
P0316,Crane,No,Yes,Yes,10
P0317,Excavator,Yes,Yes,Yes,8
P0318,Crane,No,Yes,Yes,5
P0319,Bulldozer,No,No,No,2
P0320,Crane,No,Yes,No,10
P0321,Bulldozer,No,No,Yes,13
P0322,Crane,No,Yes,Yes,3
P0323,Crane,Yes,Yes,No,4
P0324,Excavator,Yes,No,No,7
P0325,Crane,Yes,No,Yes,15
P0326,Bulldozer,No,Yes,Yes,3
P0327,Bulldozer,Yes,No,No,7
P0328,Bulldozer,Yes,No,No,2
P0329,Loader,No,No,No,9
P0330,Mixer,No,Yes,No,4
P0331,Excavator,No,No,Yes,7
P0332,Bulldozer,Yes,No,No,7
P0333,Mixer,No,Yes,No,13
P0334,Bulldozer,Yes,Yes,Yes,4
P0335,Bulldozer,Yes,No,No,11
P0336,Mixer,No,Yes,Yes,8
P0337,Excavator,No,No,No,3
P0338,Loader,No,Yes,Yes,10
P0339,Excavator,No,Yes,Yes,12
P0340,Bulldozer,Yes,Yes,Yes,3
P0341,Mixer,Yes,No,Yes,5
P0342,Bulldozer,No,Yes,Yes,8
P0343,Excavator,Yes,Yes,No,13
P0344,Bulldozer,No,No,No,13
P0345,Loader,No,No,No,11
P0346,Bulldozer,No,Yes,No,13
P0347,Bulldozer,Yes,No,No,7
P0348,Crane,No,No,No,14
P0349,Excavator,Yes,No,No,6
P0350,Excavator,No,No,No,13
P0351,Bulldozer,No,Yes,Yes,14
P0352,Mixer,Yes,Yes,Yes,6
P0353,Excavator,No,Yes,No,3
P0354,Mixer,Yes,Yes,Yes,3
P0355,Bulldozer,No,No,No,4
P0356,Bulldozer,No,No,Yes,9
P0357,Bulldozer,No,Yes,Yes,9
P0358,Excavator,No,No,No,7
P0359,Loader,No,Yes,No,13
P0360,Loader,Yes,No,No,15
P0361,Bulldozer,Yes,Yes,Yes,15
P0362,Loader,No,Yes,Yes,14
P0363,Bulldozer,Yes,Yes,No,2
P0364,Mixer,No,No,No,14
P0365,Crane,No,No,Yes,15
P0366,Bulldozer,Yes,Yes,No,14
P0367,Bulldozer,No,No,No,13
P0368,Loader,Yes,Yes,No,2
P0369,Crane,Yes,No,No,8
P0370,Excavator,Yes,Yes,No,2
P0371,Loader,Yes,Yes,Yes,4
P0372,Bulldozer,No,Yes,No,1
P0373,Crane,Yes,No,No,2
P0374,Loader,No,No,Yes,15
P0375,Mixer,Yes,Yes,Yes,14
P0376,Loader,No,No,No,7
P0377,Mixer,No,Yes,Yes,15
P0378,Excavator,No,Yes,Yes,8
P0379,Mixer,No,No,No,4
P0380,Mixer,Yes,No,Yes,9
P0381,Loader,Yes,No,Yes,8
P0382,Bulldozer,No,No,Yes,11
P0383,Excavator,No,No,No,13
P0384,Crane,Yes,Yes,No,6
P0385,Excavator,No,Yes,No,2
P0386,Bulldozer,Yes,No,No,3
P0387,Bulldozer,Yes,No,No,6
P0388,Bulldozer,Yes,No,No,8
P0389,Mixer,No,Yes,Yes,15
P0390,Crane,No,No,No,12
P0391,Excavator,Yes,Yes,Yes,2
P0392,Excavator,Yes,No,Yes,3
P0393,Loader,Yes,No,Yes,9
P0394,Bulldozer,Yes,Yes,No,11
P0395,Mixer,Yes,Yes,No,6
P0396,Loader,No,No,No,13
P0397,Bulldozer,Yes,Yes,No,1
P0398,Excavator,No,No,Yes,11
P0399,Excavator,No,Yes,No,6
P0400,Crane,No,No,No,6
P0401,Loader,Yes,Yes,No,8
P0402,Loader,Yes,No,Yes,2
P0403,Loader,Yes,Yes,No,14
P0404,Loader,No,Yes,Yes,11
P0405,Mixer,Yes,Yes,No,4
P0406,Excavator,No,Yes,No,10
P0407,Mixer,No,No,No,13
P0408,Loader,No,No,No,13
P0409,Bulldozer,No,Yes,No,10
P0410,Bulldozer,No,No,No,12
P0411,Crane,No,No,No,5
P0412,Loader,Yes,No,Yes,8
P0413,Mixer,Yes,No,No,4
P0414,Bulldozer,No,No,Yes,7
P0415,Excavator,No,Yes,No,12
P0416,Mixer,Yes,Yes,Yes,12
P0417,Crane,Yes,No,No,8
P0418,Loader,No,No,No,12
P0419,Loader,Yes,No,No,4
P0420,Excavator,Yes,No,No,15
P0421,Excavator,No,Yes,No,14
P0422,Mixer,No,No,No,3
P0423,Mixer,Yes,No,Yes,8
P0424,Bulldozer,No,Yes,Yes,10
P0425,Crane,No,Yes,No,10
P0426,Crane,No,No,Yes,11
P0427,Excavator,Yes,No,Yes,14
P0428,Mixer,Yes,Yes,No,11
P0429,Crane,Yes,No,No,12
P0430,Excavator,No,No,Yes,8
P0431,Mixer,Yes,Yes,No,6
P0432,Loader,Yes,Yes,No,12
P0433,Excavator,No,No,No,6
P0434,Excavator,Yes,No,Yes,5
P0435,Bulldozer,Yes,Yes,No,14
P0436,Mixer,No,No,Yes,13
P0437,Crane,No,Yes,Yes,7
P0438,Mixer,No,Yes,No,2
P0439,Bulldozer,No,No,No,5
P0440,Mixer,No,Yes,Yes,11
P0441,Mixer,No,Yes,Yes,13
P0442,Bulldozer,No,No,Yes,5
P0443,Bulldozer,No,Yes,No,2
P0444,Crane,Yes,Yes,No,7
P0445,Loader,No,No,No,3
P0446,Crane,Yes,No,No,11
P0447,Loader,No,No,No,10
P0448,Mixer,No,Yes,Yes,10
P0449,Excavator,Yes,No,Yes,15
P0450,Crane,No,Yes,Yes,6
P0451,Mixer,Yes,Yes,Yes,3
P0452,Crane,Yes,No,Yes,9
P0453,Crane,Yes,Yes,No,7
P0454,Mixer,Yes,No,No,5
P0455,Excavator,No,No,Yes,11
P0456,Excavator,No,No,Yes,10
P0457,Mixer,No,No,No,15
P0458,Excavator,No,Yes,No,10
P0459,Excavator,No,No,Yes,11
P0460,Excavator,Yes,No,Yes,8
P0461,Crane,No,Yes,Yes,1
P0462,Mixer,Yes,Yes,Yes,6
P0463,Loader,Yes,No,Yes,2
P0464,Loader,No,Yes,Yes,13
P0465,Loader,No,Yes,Yes,4
P0466,Crane,Yes,Yes,No,6
P0467,Crane,Yes,No,No,4
P0468,Crane,No,Yes,Yes,13
P0469,Mixer,Yes,No,No,4
P0470,Loader,No,No,No,12
P0471,Crane,Yes,Yes,No,8
P0472,Crane,No,No,Yes,1
P0473,Bulldozer,No,No,Yes,10
P0474,Excavator,No,Yes,No,1
P0475,Crane,No,No,No,11
P0476,Bulldozer,Yes,Yes,Yes,10
P0477,Excavator,No,Yes,No,1
P0478,Crane,Yes,Yes,No,8
P0479,Mixer,Yes,Yes,No,7
P0480,Bulldozer,No,Yes,No,2
P0481,Loader,No,No,No,11
P0482,Excavator,No,Yes,Yes,9
P0483,Bulldozer,Yes,Yes,No,8
P0484,Loader,No,Yes,Yes,9
P0485,Excavator,No,No,No,9
P0486,Bulldozer,No,Yes,No,15
P0487,Bulldozer,No,No,No,10
P0488,Crane,Yes,Yes,Yes,15
P0489,Loader,No,No,No,3
P0490,Mixer,No,No,Yes,15
P0491,Crane,Yes,Yes,No,11
P0492,Bulldozer,No,No,No,4
P0493,Excavator,No,No,Yes,14
P0494,Excavator,Yes,Yes,Yes,13
P0495,Crane,No,Yes,No,12
P0496,Loader,Yes,Yes,Yes,10
P0497,Bulldozer,No,Yes,No,7
P0498,Mixer,No,No,Yes,15
P0499,Crane,No,Yes,No,4
P0500,Bulldozer,Yes,Yes,Yes,8
P0501,Crane,No,No,No,1
P0502,Excavator,Yes,No,Yes,3
P0503,Crane,Yes,Yes,No,4
P0504,Crane,No,No,No,6
P0505,Bulldozer,No,No,Yes,7
P0506,Bulldozer,Yes,Yes,No,11
P0507,Bulldozer,Yes,Yes,Yes,10
P0508,Crane,No,No,No,14
P0509,Loader,Yes,Yes,Yes,3
P0510,Excavator,Yes,No,Yes,15
P0511,Bulldozer,No,Yes,No,6
P0512,Crane,No,No,No,2
P0513,Bulldozer,Yes,No,Yes,11
P0514,Crane,Yes,No,Yes,11
P0515,Bulldozer,Yes,No,No,7
P0516,Bulldozer,Yes,Yes,Yes,10
P0517,Mixer,No,No,Yes,1
P0518,Excavator,Yes,No,Yes,7
P0519,Crane,No,Yes,No,3
P0520,Loader,Yes,Yes,Yes,6
P0521,Excavator,Yes,No,Yes,9
P0522,Crane,Yes,No,Yes,13
P0523,Mixer,No,Yes,Yes,11
P0524,Crane,Yes,No,Yes,14
P0525,Mixer,No,No,Yes,5
P0526,Loader,No,No,Yes,2
P0527,Mixer,No,No,Yes,1
P0528,Mixer,No,No,No,3
P0529,Loader,Yes,Yes,Yes,2
P0530,Crane,No,Yes,Yes,14
P0531,Mixer,Yes,Yes,No,10
P0532,Bulldozer,No,No,Yes,1
P0533,Crane,Yes,No,Yes,14
P0534,Loader,Yes,No,Yes,3
P0535,Mixer,Yes,No,No,10
P0536,Bulldozer,No,Yes,No,8
P0537,Crane,No,Yes,No,3
P0538,Mixer,Yes,Yes,No,10
P0539,Bulldozer,No,No,Yes,7
P0540,Crane,Yes,No,Yes,6
P0541,Loader,Yes,No,No,13
P0542,Loader,No,Yes,No,10
P0543,Loader,Yes,Yes,Yes,3
P0544,Crane,No,Yes,No,10
P0545,Mixer,No,Yes,Yes,11
P0546,Crane,No,No,No,2
P0547,Loader,No,No,Yes,11
P0548,Bulldozer,No,Yes,No,15
P0549,Excavator,Yes,Yes,No,6
P0550,Excavator,Yes,Yes,Yes,4
P0551,Mixer,No,No,Yes,4
P0552,Excavator,No,Yes,No,6
P0553,Bulldozer,Yes,Yes,No,8
P0554,Excavator,No,No,Yes,3
P0555,Crane,No,Yes,Yes,11
P0556,Crane,Yes,No,Yes,8
P0557,Bulldozer,Yes,Yes,Yes,6
P0558,Excavator,No,Yes,Yes,14
P0559,Crane,Yes,Yes,No,4
P0560,Crane,Yes,Yes,Yes,14
P0561,Mixer,No,No,No,6
P0562,Mixer,Yes,Yes,No,13
P0563,Mixer,Yes,No,No,8
P0564,Mixer,Yes,No,Yes,3
P0565,Excavator,No,No,No,1
P0566,Bulldozer,Yes,Yes,No,5
P0567,Bulldozer,No,No,Yes,9
P0568,Crane,Yes,No,No,8
P0569,Mixer,No,Yes,No,15
P0570,Crane,No,Yes,Yes,12
P0571,Mixer,Yes,No,Yes,15
P0572,Mixer,Yes,Yes,No,8
P0573,Excavator,Yes,No,Yes,15
P0574,Excavator,Yes,Yes,Yes,4
P0575,Excavator,No,Yes,Yes,10
P0576,Loader,Yes,Yes,No,2
P0577,Excavator,No,Yes,No,8
P0578,Mixer,Yes,No,No,9
P0579,Mixer,No,No,Yes,15
P0580,Crane,No,Yes,No,6
P0581,Bulldozer,No,No,No,2
P0582,Loader,Yes,Yes,Yes,5
P0583,Crane,Yes,No,Yes,4
P0584,Loader,Yes,Yes,No,6
P0585,Mixer,No,No,Yes,13
P0586,Bulldozer,Yes,Yes,No,8
P0587,Crane,No,No,Yes,12
P0588,Loader,Yes,No,No,11
P0589,Mixer,No,No,Yes,7
P0590,Bulldozer,No,No,Yes,10
P0591,Loader,No,Yes,Yes,12
P0592,Crane,No,No,No,4
P0593,Mixer,No,No,No,11
P0594,Bulldozer,No,No,Yes,14
P0595,Mixer,Yes,No,Yes,9
P0596,Excavator,No,No,No,7
P0597,Loader,No,No,No,3
P0598,Mixer,Yes,No,Yes,9
P0599,Loader,No,Yes,Yes,13
P0600,Crane,Yes,Yes,Yes,13
P0601,Crane,No,Yes,No,4
P0602,Loader,No,No,Yes,10
P0603,Mixer,Yes,Yes,No,7
P0604,Crane,Yes,Yes,No,11
P0605,Mixer,No,Yes,Yes,4
P0606,Bulldozer,No,Yes,No,13
P0607,Mixer,No,Yes,Yes,5
P0608,Mixer,No,No,Yes,2
P0609,Crane,No,Yes,Yes,10
P0610,Bulldozer,No,Yes,No,2
P0611,Crane,Yes,Yes,Yes,7
P0612,Loader,No,Yes,Yes,9
P0613,Excavator,No,No,Yes,13
P0614,Crane,No,Yes,No,11
P0615,Mixer,No,Yes,Yes,1
P0616,Crane,No,Yes,Yes,7
P0617,Excavator,No,Yes,Yes,7
P0618,Excavator,No,No,Yes,4
P0619,Crane,No,Yes,No,4
P0620,Loader,No,Yes,No,7
P0621,Excavator,No,No,Yes,12
P0622,Loader,Yes,Yes,No,10
P0623,Excavator,Yes,No,No,11
P0624,Excavator,Yes,Yes,Yes,12
P0625,Mixer,No,No,Yes,6
P0626,Bulldozer,Yes,Yes,No,8
P0627,Mixer,No,Yes,Yes,12
P0628,Bulldozer,Yes,Yes,Yes,1
P0629,Loader,No,Yes,Yes,5
P0630,Crane,No,No,No,13
P0631,Crane,No,No,Yes,6
P0632,Bulldozer,No,Yes,Yes,14
P0633,Crane,No,Yes,No,6
P0634,Mixer,Yes,Yes,No,9
P0635,Excavator,No,Yes,Yes,5
P0636,Excavator,No,Yes,Yes,14
P0637,Mixer,Yes,Yes,No,12
P0638,Crane,Yes,Yes,Yes,10
P0639,Mixer,No,No,No,3
P0640,Excavator,No,No,Yes,13
P0641,Crane,No,Yes,No,7
P0642,Excavator,No,No,Yes,5
P0643,Mixer,Yes,No,Yes,13
P0644,Mixer,No,Yes,Yes,6
P0645,Excavator,Yes,No,No,2
P0646,Mixer,Yes,Yes,Yes,7
P0647,Bulldozer,Yes,Yes,Yes,12
P0648,Crane,No,No,Yes,5
P0649,Loader,Yes,No,No,6
P0650,Loader,Yes,Yes,No,4
P0651,Crane,No,No,Yes,14
P0652,Bulldozer,No,Yes,No,13
P0653,Crane,Yes,No,No,7
P0654,Mixer,No,Yes,No,3
P0655,Mixer,Yes,Yes,No,14
P0656,Crane,No,No,Yes,4
P0657,Crane,Yes,Yes,Yes,7
P0658,Mixer,Yes,No,No,3
P0659,Bulldozer,No,Yes,No,15
P0660,Crane,Yes,No,Yes,1
P0661,Excavator,Yes,No,No,1
P0662,Loader,Yes,No,No,9
P0663,Loader,No,Yes,Yes,3
P0664,Excavator,No,No,Yes,4
P0665,Loader,No,No,Yes,6
P0666,Bulldozer,Yes,Yes,No,1
P0667,Excavator,No,Yes,No,15
P0668,Excavator,No,Yes,No,11
P0669,Crane,No,No,Yes,10
P0670,Mixer,Yes,No,No,14
P0671,Bulldozer,No,No,Yes,1
P0672,Bulldozer,No,Yes,Yes,7
P0673,Excavator,Yes,Yes,No,8
P0674,Mixer,Yes,No,Yes,6
P0675,Excavator,No,Yes,No,15
P0676,Excavator,No,Yes,Yes,9
P0677,Mixer,Yes,No,No,10
P0678,Excavator,Yes,No,No,4
P0679,Crane,No,No,No,4
P0680,Bulldozer,Yes,No,No,1
P0681,Bulldozer,Yes,No,No,13
P0682,Bulldozer,Yes,No,Yes,8
P0683,Bulldozer,No,Yes,Yes,7
P0684,Bulldozer,Yes,No,No,8
P0685,Excavator,No,Yes,No,6
P0686,Loader,Yes,Yes,No,8
P0687,Bulldozer,Yes,Yes,Yes,15
P0688,Mixer,No,No,No,6
P0689,Mixer,Yes,No,Yes,3
P0690,Excavator,No,Yes,No,1
P0691,Loader,Yes,No,Yes,6
P0692,Mixer,Yes,No,Yes,11
P0693,Loader,No,No,Yes,13
P0694,Crane,No,Yes,Yes,5
P0695,Mixer,Yes,No,No,5
P0696,Excavator,No,Yes,No,15
P0697,Crane,No,Yes,Yes,15
P0698,Crane,Yes,No,No,4
P0699,Mixer,No,Yes,Yes,10
P0700,Crane,No,No,Yes,11
