Project_ID,Helmet,Vest,Gloves,Safety_Shoes,Accident,Risk_Level
P0252,No,Yes,Yes,No,Yes,High
P0253,No,Yes,Yes,Yes,No,Low
P0254,Yes,No,No,No,Yes,High
P0255,Yes,Yes,Yes,No,No,Low
P0256,Yes,No,No,No,No,Low
P0257,No,Yes,No,No,No,Medium
P0258,No,Yes,No,No,No,Low
P0259,Yes,Yes,Yes,Yes,No,Low
P0260,Yes,Yes,Yes,No,No,Low
P0261,No,No,No,Yes,Yes,High
P0262,No,Yes,Yes,No,Yes,High
P0263,Yes,Yes,Yes,Yes,No,Low
P0264,No,No,No,Yes,No,Medium
P0265,No,Yes,Yes,Yes,No,Medium
P0266,No,No,Yes,Yes,No,Low
P0267,No,No,Yes,Yes,Yes,High
P0268,No,Yes,No,Yes,No,Medium
P0269,No,Yes,No,No,No,Medium
P0270,No,Yes,No,No,Yes,High
P0271,No,No,Yes,No,No,Low
P0272,No,Yes,Yes,No,Yes,High
P0273,Yes,No,No,Yes,No,Low
P0274,No,No,No,Yes,No,Low
P0275,Yes,No,No,No,Yes,High
P0276,Yes,No,No,Yes,Yes,High
P0277,Yes,No,No,No,Yes,High
P0278,Yes,No,No,Yes,Yes,High
P0279,No,No,No,Yes,No,Medium
P0280,No,Yes,Yes,No,Yes,High
P0281,Yes,Yes,Yes,No,No,Low
P0282,No,No,Yes,Yes,No,Medium
P0283,No,Yes,Yes,No,No,Low
P0284,No,No,Yes,No,No,Medium
P0285,Yes,No,No,No,Yes,High
P0286,No,No,No,Yes,No,Medium
P0287,No,Yes,Yes,No,No,Medium
P0288,No,Yes,Yes,No,No,Medium
P0289,No,Yes,No,No,Yes,High
P0290,No,Yes,Yes,Yes,No,Low
P0291,Yes,Yes,No,No,No,Low
P0292,Yes,No,Yes,No,Yes,High
P0293,No,No,Yes,Yes,No,Low
P0294,No,No,No,No,No,Low
P0295,Yes,No,No,Yes,Yes,High
P0296,No,No,No,Yes,Yes,High
P0297,No,Yes,No,Yes,No,Medium
P0298,No,Yes,No,No,No,Medium
P0299,No,No,Yes,Yes,Yes,High
P0300,No,No,No,No,No,Low
P0301,Yes,No,Yes,Yes,No,Medium
P0302,No,Yes,No,Yes,No,Low
P0303,No,No,Yes,No,No,Medium
P0304,Yes,No,Yes,Yes,No,Low
P0305,Yes,Yes,No,Yes,No,Medium
P0306,No,Yes,Yes,No,No,Low
P0307,No,No,Yes,No,Yes,High
P0308,Yes,No,Yes,No,No,Low
P0309,No,Yes,Yes,No,Yes,High
P0310,No,No,Yes,No,No,Low
P0311,No,No,Yes,No,No,Low
P0312,Yes,No,Yes,No,Yes,High
P0313,Yes,No,No,No,No,Medium
P0314,No,Yes,Yes,No,No,Low
P0315,No,No,Yes,No,No,Low
P0316,Yes,No,No,No,No,Medium
P0317,No,Yes,No,Yes,No,Low
P0318,Yes,No,No,Yes,No,Medium
P0319,No,No,Yes,Yes,No,Low
P0320,Yes,No,Yes,Yes,Yes,High
P0321,No,No,No,No,Yes,High
P0322,No,Yes,Yes,Yes,No,Medium
P0323,No,Yes,Yes,Yes,Yes,High
P0324,No,No,Yes,No,No,Low
P0325,Yes,Yes,No,No,No,Low
P0326,No,Yes,No,Yes,No,Low
P0327,Yes,No,Yes,No,Yes,High
P0328,No,Yes,No,No,No,Medium
P0329,Yes,No,No,No,Yes,High
P0330,No,No,No,Yes,No,Low
P0331,Yes,Yes,No,No,No,Low
P0332,No,Yes,No,No,No,Low
P0333,Yes,Yes,No,Yes,No,Low
P0334,No,Yes,No,Yes,Yes,High
P0335,No,Yes,No,Yes,No,Low
P0336,Yes,No,Yes,Yes,Yes,High
P0337,No,Yes,No,No,Yes,High
P0338,No,No,No,No,Yes,High
P0339,Yes,No,No,No,No,Medium
P0340,No,Yes,No,Yes,No,Medium
P0341,Yes,Yes,Yes,No,No,Medium
P0342,No,No,Yes,No,No,Low
P0343,Yes,Yes,Yes,Yes,No,Low
P0344,Yes,Yes,No,Yes,No,Low
P0345,Yes,No,No,No,No,Low
P0346,No,Yes,Yes,No,No,Low
P0347,Yes,Yes,Yes,No,No,Medium
P0348,No,No,Yes,Yes,Yes,High
P0349,Yes,Yes,No,Yes,No,Medium
P0350,Yes,No,Yes,No,No,Low
P0351,No,Yes,No,Yes,Yes,High
P0352,No,No,Yes,Yes,No,Medium
P0353,No,No,No,No,No,Medium
P0354,No,No,Yes,Yes,No,Medium
P0355,No,No,No,No,No,Medium
P0356,No,No,No,Yes,No,Medium
P0357,No,Yes,Yes,No,No,Medium
P0358,Yes,No,Yes,No,Yes,High
P0359,Yes,Yes,Yes,Yes,No,Medium
P0360,No,Yes,No,No,Yes,High
P0361,No,No,Yes,Yes,Yes,High
P0362,No,No,No,Yes,Yes,High
P0363,Yes,Yes,Yes,No,No,Low
P0364,Yes,No,Yes,Yes,No,Low
P0365,No,Yes,No,Yes,No,Medium
P0366,No,No,No,No,No,Low
P0367,No,No,Yes,Yes,No,Medium
P0368,Yes,Yes,No,No,No,Medium
P0369,No,Yes,Yes,No,No,Medium
P0370,No,No,No,Yes,No,Low
P0371,Yes,No,No,Yes,Yes,High
P0372,Yes,No,No,No,Yes,High
P0373,Yes,No,Yes,Yes,No,Low
P0374,No,Yes,Yes,Yes,No,Medium
P0375,Yes,Yes,Yes,Yes,No,Low
P0376,Yes,Yes,No,Yes,No,Low
P0377,No,No,Yes,Yes,Yes,High
P0378,Yes,Yes,No,Yes,No,Medium
P0379,Yes,No,No,Yes,No,Medium
P0380,No,Yes,Yes,No,Yes,High
P0381,Yes,No,No,No,Yes,High
P0382,No,No,Yes,Yes,Yes,High
P0383,Yes,No,No,No,No,Low
P0384,No,No,No,No,Yes,High
P0385,No,No,No,Yes,Yes,High
P0386,No,Yes,Yes,No,No,Low
P0387,No,Yes,Yes,No,Yes,High
P0388,Yes,Yes,Yes,No,No,Medium
P0389,No,Yes,Yes,No,Yes,High
P0390,No,No,No,No,No,Low
P0391,Yes,Yes,Yes,No,No,Low
P0392,Yes,No,Yes,No,Yes,High
P0393,Yes,No,No,Yes,Yes,High
P0394,Yes,Yes,No,No,No,Medium
P0395,Yes,No,Yes,Yes,Yes,High
P0396,Yes,Yes,No,No,No,Low
P0397,Yes,Yes,No,Yes,No,Low
P0398,Yes,No,Yes,No,No,Medium
P0399,No,Yes,No,Yes,No,Low
P0400,No,No,No,Yes,No,Low
P0401,Yes,No,Yes,No,No,Medium
P0402,No,Yes,Yes,Yes,Yes,High
P0403,No,No,No,No,Yes,High
P0404,Yes,No,Yes,No,Yes,High
P0405,Yes,No,No,Yes,No,Medium
P0406,No,No,No,Yes,No,Medium
P0407,Yes,Yes,No,Yes,No,Low
P0408,Yes,Yes,No,Yes,No,Medium
P0409,No,Yes,No,Yes,Yes,High
P0410,No,No,No,Yes,No,Low
P0411,Yes,Yes,Yes,Yes,No,Medium
P0412,Yes,Yes,No,No,No,Medium
P0413,No,No,Yes,Yes,No,Medium
P0414,Yes,No,Yes,Yes,No,Low
P0415,Yes,No,No,No,No,Medium
P0416,No,Yes,No,Yes,Yes,High
P0417,Yes,No,No,No,No,Low
P0418,Yes,No,No,Yes,Yes,High
P0419,No,No,Yes,Yes,Yes,High
P0420,Yes,No,No,No,Yes,High
P0421,Yes,Yes,Yes,Yes,No,Low
P0422,No,Yes,No,Yes,No,Medium
P0423,No,No,No,Yes,No,Medium
P0424,No,No,No,Yes,No,Medium
P0425,Yes,Yes,No,Yes,No,Medium
P0426,No,Yes,No,Yes,No,Medium
P0427,Yes,Yes,No,Yes,No,Medium
P0428,Yes,No,Yes,No,Yes,High
P0429,Yes,No,Yes,No,No,Medium
P0430,Yes,No,No,No,No,Low
P0431,Yes,No,No,No,Yes,High
P0432,No,Yes,Yes,No,Yes,High
P0433,Yes,Yes,No,No,No,Low
P0434,No,No,Yes,Yes,No,Medium
P0435,Yes,No,No,Yes,Yes,High
P0436,No,No,No,Yes,Yes,High
P0437,Yes,Yes,Yes,Yes,No,Low
P0438,Yes,Yes,No,No,No,Medium
P0439,No,Yes,Yes,Yes,Yes,High
P0440,Yes,No,Yes,Yes,No,Low
P0441,No,No,No,No,Yes,High
P0442,No,No,No,Yes,No,Low
P0443,Yes,No,No,Yes,Yes,High
P0444,Yes,Yes,No,Yes,No,Medium
P0445,Yes,Yes,Yes,Yes,No,Medium
P0446,Yes,Yes,No,No,No,Medium
P0447,No,Yes,Yes,Yes,No,Low
P0448,Yes,Yes,No,Yes,No,Medium
P0449,Yes,No,Yes,Yes,No,Medium
P0450,Yes,Yes,No,No,No,Low
P0451,No,No,No,No,No,Medium
P0452,Yes,Yes,No,No,No,Medium
P0453,Yes,Yes,No,No,No,Low
P0454,Yes,Yes,No,Yes,No,Medium
P0455,No,Yes,No,Yes,Yes,High
P0456,Yes,No,Yes,Yes,No,Medium
P0457,No,No,No,Yes,No,Low
P0458,No,No,No,No,No,Low
P0459,Yes,No,No,No,No,Low
P0460,No,Yes,Yes,Yes,No,Low
P0461,Yes,Yes,Yes,No,No,Medium
P0462,No,Yes,Yes,No,No,Low
P0463,No,Yes,Yes,No,Yes,High
P0464,Yes,No,No,No,No,Medium
P0465,No,Yes,No,Yes,No,Low
P0466,No,No,Yes,Yes,Yes,High
P0467,Yes,Yes,No,Yes,No,Low
P0468,No,Yes,Yes,No,Yes,High
P0469,No,No,Yes,Yes,Yes,High
P0470,No,Yes,Yes,No,Yes,High
P0471,Yes,Yes,Yes,Yes,No,Medium
P0472,No,Yes,Yes,Yes,Yes,High
P0473,No,No,Yes,Yes,Yes,High
P0474,Yes,Yes,Yes,Yes,No,Medium
P0475,No,No,Yes,No,No,Medium
P0476,Yes,No,Yes,No,Yes,High
P0477,No,No,Yes,No,No,Medium
P0478,No,Yes,No,Yes,No,Medium
P0479,No,No,Yes,No,Yes,High
P0480,No,Yes,Yes,Yes,No,Medium
P0481,Yes,Yes,Yes,Yes,No,Medium
P0482,Yes,No,Yes,Yes,Yes,High
P0483,No,Yes,Yes,No,No,Low
P0484,Yes,Yes,No,No,No,Low
P0485,No,Yes,Yes,No,Yes,High
P0486,Yes,No,No,Yes,No,Medium
P0487,No,No,Yes,Yes,No,Medium
P0488,Yes,Yes,Yes,No,No,Medium
P0489,Yes,Yes,No,Yes,No,Medium
P0490,No,No,Yes,No,No,Low
P0491,Yes,No,No,Yes,Yes,High
P0492,No,Yes,No,No,No,Medium
P0493,Yes,Yes,No,No,No,Low
P0494,No,No,Yes,Yes,No,Low
P0495,Yes,No,No,Yes,Yes,High
P0496,No,Yes,No,Yes,No,Low
P0497,No,Yes,Yes,No,No,Low
P0498,No,Yes,Yes,No,Yes,High
P0499,Yes,No,No,Yes,No,Medium
P0500,No,Yes,Yes,Yes,Yes,High
P0501,Yes,Yes,Yes,No,No,Low
P0502,Yes,No,Yes,No,Yes,High
P0503,Yes,Yes,No,Yes,No,Medium
P0504,Yes,No,Yes,No,Yes,High
P0505,No,Yes,Yes,No,No,Low
P0506,No,Yes,No,No,Yes,High
P0507,No,Yes,Yes,Yes,No,Low
P0508,No,Yes,No,Yes,No,Medium
P0509,Yes,Yes,No,Yes,No,Medium
P0510,Yes,No,No,Yes,Yes,High
P0511,No,Yes,No,No,No,Medium
P0512,No,Yes,No,No,Yes,High
P0513,No,No,No,Yes,Yes,High
P0514,No,No,Yes,Yes,No,Medium
P0515,Yes,No,No,Yes,Yes,High
P0516,No,Yes,Yes,Yes,Yes,High
P0517,Yes,Yes,No,No,No,Medium
P0518,Yes,No,No,No,No,Low
P0519,Yes,No,Yes,No,No,Low
P0520,Yes,No,No,No,Yes,High
P0521,No,No,No,Yes,Yes,High
P0522,Yes,No,No,Yes,No,Medium
P0523,No,No,Yes,Yes,No,Medium
P0524,No,Yes,No,Yes,Yes,High
P0525,No,Yes,Yes,Yes,No,Low
P0526,Yes,Yes,No,No,No,Low
P0527,Yes,Yes,No,Yes,No,Medium
P0528,No,Yes,Yes,Yes,Yes,High
P0529,No,Yes,No,No,No,Low
P0530,Yes,Yes,Yes,No,No,Low
P0531,Yes,No,Yes,Yes,Yes,High
P0532,Yes,Yes,No,Yes,No,Low
P0533,Yes,Yes,No,Yes,No,Low
P0534,Yes,No,Yes,Yes,Yes,High
P0535,No,No,Yes,Yes,No,Medium
P0536,Yes,Yes,No,No,No,Medium
P0537,Yes,Yes,Yes,Yes,No,Low
P0538,Yes,No,Yes,Yes,Yes,High
P0539,No,No,Yes,Yes,No,Medium
P0540,Yes,No,Yes,Yes,No,Medium
P0541,Yes,Yes,No,No,No,Medium
P0542,Yes,No,Yes,No,No,Medium
P0543,Yes,No,No,No,Yes,High
P0544,No,No,Yes,Yes,No,Medium
P0545,No,Yes,No,Yes,Yes,High
P0546,Yes,No,Yes,No,Yes,High
P0547,Yes,Yes,No,Yes,No,Medium
P0548,Yes,Yes,Yes,No,No,Medium
P0549,No,No,Yes,No,No,Medium
P0550,Yes,No,No,Yes,Yes,High
P0551,No,Yes,No,No,Yes,High
P0552,No,Yes,Yes,No,Yes,High
P0553,Yes,No,No,No,Yes,High
P0554,No,Yes,Yes,No,No,Medium
P0555,Yes,No,No,No,Yes,High
P0556,Yes,Yes,Yes,Yes,No,Medium
P0557,Yes,No,Yes,Yes,Yes,High
P0558,Yes,Yes,Yes,No,No,Low
P0559,No,Yes,Yes,Yes,No,Medium
P0560,No,No,No,Yes,Yes,High
P0561,No,Yes,Yes,Yes,Yes,High
P0562,Yes,No,No,No,Yes,High
P0563,Yes,No,Yes,No,Yes,High
P0564,No,No,Yes,No,Yes,High
P0565,Yes,Yes,No,No,No,Low
P0566,No,No,Yes,No,No,Low
P0567,No,No,No,No,Yes,High
P0568,No,Yes,Yes,Yes,No,Medium
P0569,No,Yes,Yes,No,Yes,High
P0570,No,No,Yes,No,Yes,High
P0571,No,No,Yes,No,Yes,High
P0572,Yes,No,No,No,No,Low
P0573,Yes,Yes,Yes,Yes,No,Low
P0574,Yes,Yes,Yes,Yes,No,Low
P0575,Yes,No,Yes,No,No,Low
P0576,Yes,Yes,Yes,Yes,No,Low
P0577,No,Yes,No,Yes,Yes,High
P0578,Yes,Yes,Yes,No,No,Low
P0579,No,No,No,Yes,Yes,High
P0580,Yes,No,No,Yes,Yes,High
P0581,No,No,No,Yes,Yes,High
P0582,No,Yes,No,Yes,No,Medium
P0583,Yes,Yes,No,Yes,No,Medium
P0584,Yes,Yes,Yes,No,No,Medium
P0585,Yes,Yes,No,No,No,Low
P0586,Yes,No,Yes,Yes,No,Low
P0587,No,No,No,Yes,Yes,High
P0588,No,No,No,No,Yes,High
P0589,Yes,Yes,Yes,Yes,No,Low
P0590,No,No,Yes,No,No,Low
P0591,No,Yes,No,Yes,No,Medium
P0592,Yes,Yes,No,Yes,No,Low
P0593,Yes,No,Yes,No,No,Low
P0594,Yes,Yes,No,No,No,Medium
P0595,No,Yes,No,No,Yes,High
P0596,No,Yes,No,Yes,Yes,High
P0597,Yes,No,Yes,No,Yes,High
P0598,No,No,Yes,No,No,Medium
P0599,Yes,No,Yes,Yes,Yes,High
P0600,Yes,Yes,Yes,Yes,No,Low
P0601,No,No,No,Yes,No,Low
P0602,No,No,Yes,No,Yes,High
P0603,No,Yes,No,Yes,No,Low
P0604,Yes,Yes,No,Yes,No,Low
P0605,No,Yes,No,No,No,Medium
P0606,Yes,Yes,Yes,No,No,Low
P0607,Yes,No,Yes,No,Yes,High
P0608,Yes,Yes,No,No,No,Low
P0609,No,Yes,No,No,No,Low
P0610,Yes,No,No,No,Yes,High
P0611,No,No,Yes,No,No,Low
P0612,No,No,No,No,No,Medium
P0613,No,No,Yes,Yes,No,Medium
P0614,No,Yes,Yes,Yes,No,Medium
P0615,Yes,Yes,Yes,No,No,Low
P0616,No,Yes,Yes,Yes,No,Medium
P0617,No,No,No,Yes,No,Low
P0618,Yes,No,No,No,No,Medium
P0619,Yes,No,Yes,No,Yes,High
P0620,No,No,No,No,No,Low
P0621,No,No,Yes,Yes,No,Medium
P0622,No,No,No,Yes,No,Medium
P0623,Yes,Yes,No,No,No,Low
P0624,Yes,No,No,Yes,No,Medium
P0625,Yes,No,No,No,Yes,High
P0626,Yes,Yes,Yes,No,No,Medium
P0627,Yes,Yes,No,No,No,Low
P0628,No,No,Yes,Yes,No,Medium
P0629,No,No,Yes,No,No,Low
P0630,Yes,No,No,Yes,Yes,High
P0631,No,Yes,No,Yes,No,Medium
P0632,Yes,Yes,No,Yes,No,Low
P0633,No,No,Yes,No,No,Low
P0634,Yes,Yes,Yes,Yes,No,Low
P0635,Yes,No,Yes,Yes,No,Low
P0636,No,Yes,Yes,Yes,Yes,High
P0637,Yes,No,No,No,No,Medium
P0638,No,Yes,Yes,Yes,Yes,High
P0639,No,Yes,Yes,No,No,Medium
P0640,No,No,Yes,No,Yes,High
P0641,No,No,Yes,Yes,No,Medium
P0642,Yes,Yes,No,No,No,Medium
