Project_ID,Project_Name,Location,Progress,Budget,Spent,Workers,Delay
P0079,Project_P0079,Bengaluru,27,15496279,10703587,14,Yes
P0080,Project_P0080,Delhi,94,29780938,19118020,80,Yes
P0081,Project_P0081,Delhi,70,35918273,15596030,30,No
P0082,Project_P0082,Chennai,61,17046970,5588950,25,Yes
P0083,Project_P0083,Bengaluru,24,47464715,56690692,20,Yes
P0084,Project_P0084,Hyderabad,77,42455260,36563493,22,No
P0085,Project_P0085,Mumbai,45,25645930,13366990,109,Yes
P0086,Project_P0086,Hyderabad,64,40497752,48121473,45,Yes
P0087,Project_P0087,Chennai,49,11800783,9964270,43,No
P0088,Project_P0088,Mumbai,31,26975738,17373260,45,Yes
P0089,Project_P0089,Chennai,72,22075157,25249696,96,Yes
P0090,Project_P0090,Chennai,93,24219314,20747254,29,No
P0091,Project_P0091,Chennai,32,46164017,17385599,104,Yes
P0092,Project_P0092,Bengaluru,8,35977874,11784370,117,Yes
P0093,Project_P0093,Hyderabad,34,28843984,27310529,38,Yes
P0094,Project_P0094,Bengaluru,12,30376303,36285725,20,Yes
P0095,Project_P0095,Chennai,85,18979743,7551525,10,No
P0096,Project_P0096,Delhi,64,39169959,42892205,92,Yes
P0097,Project_P0097,Mumbai,16,24960678,19612220,83,Yes
P0098,Project_P0098,Delhi,69,7512393,2683880,83,Yes
P0099,Project_P0099,Mumbai,35,28634671,11717766,10,Yes
P0100,Project_P0100,Mumbai,86,28588488,28391649,73,No
P0101,Project_P0101,Hyderabad,50,11547836,5587556,11,Yes
P0102,Project_P0102,Delhi,17,49068090,20630472,63,Yes
P0103,Project_P0103,Hyderabad,45,21732742,18371601,98,Yes
P0104,Project_P0104,Bengaluru,23,48402130,48137642,119,Yes
P0105,Project_P0105,Bengaluru,95,19115497,11414046,63,Yes
P0106,Project_P0106,Chennai,44,29501096,21836277,40,Yes
P0107,Project_P0107,Delhi,43,33968296,34531253,29,Yes
P0108,Project_P0108,Mumbai,9,34543998,40892842,27,Yes
P0109,Project_P0109,Delhi,25,39718854,28905353,33,Yes
P0110,Project_P0110,Delhi,13,5141132,3445430,97,Yes
P0111,Project_P0111,Chennai,5,41009622,35051945,48,Yes
P0112,Project_P0112,Mumbai,53,40918263,26561801,117,Yes
P0113,Project_P0113,Bengaluru,40,14588555,10853020,73,Yes
P0114,Project_P0114,Delhi,17,45371886,35503506,27,Yes
P0115,Project_P0115,Delhi,18,24605692,26336565,119,Yes
P0116,Project_P0116,Hyderabad,53,45688595,23786715,48,No
P0117,Project_P0117,Chennai,61,34101039,39247010,41,No
P0118,Project_P0118,Hyderabad,90,37401664,35159641,114,Yes
P0119,Project_P0119,Mumbai,86,48836632,29094250,102,Yes
P0120,Project_P0120,Hyderabad,92,35381687,22242790,27,Yes
P0121,Project_P0121,Bengaluru,92,31345807,29688810,25,Yes
P0122,Project_P0122,Hyderabad,5,27025660,29050893,82,Yes
P0123,Project_P0123,Delhi,80,13974632,11140773,85,No
P0124,Project_P0124,Delhi,96,42521009,20406607,14,No
P0125,Project_P0125,Hyderabad,21,44426599,37544303,118,Yes
P0126,Project_P0126,Delhi,14,10440952,11899971,25,Yes
P0127,Project_P0127,Mumbai,22,23248132,27626350,91,Yes
P0128,Project_P0128,Delhi,47,46560656,34334298,90,Yes
P0129,Project_P0129,Chennai,64,32365628,25852330,49,Yes
P0130,Project_P0130,Hyderabad,59,47404481,35714088,14,Yes
P0131,Project_P0131,Delhi,58,31907175,12374446,48,Yes
P0132,Project_P0132,Mumbai,7,19085446,9534988,34,Yes
P0133,Project_P0133,Mumbai,26,29978234,26647678,70,Yes
P0134,Project_P0134,Hyderabad,30,33996360,23574234,113,Yes
P0135,Project_P0135,Hyderabad,31,35489435,34693159,73,Yes
P0136,Project_P0136,Bengaluru,88,43081425,22730588,10,Yes
P0137,Project_P0137,Chennai,13,24262052,18775995,38,Yes
P0138,Project_P0138,Chennai,22,6490754,4003492,16,Yes
P0139,Project_P0139,Mumbai,57,37218676,17653131,56,Yes
P0140,Project_P0140,Mumbai,74,14189662,6665257,89,No
P0141,Project_P0141,Mumbai,45,16130558,10131183,106,Yes
P0142,Project_P0142,Chennai,58,17697396,15138194,27,Yes
P0143,Project_P0143,Hyderabad,60,17982885,6158893,41,Yes
P0144,Project_P0144,Bengaluru,90,8229642,2933243,19,Yes
P0145,Project_P0145,Delhi,100,25302835,29250182,98,Yes
P0146,Project_P0146,Mumbai,20,14410470,6443359,105,Yes
P0147,Project_P0147,Hyderabad,49,45003103,36362591,68,No
P0148,Project_P0148,Mumbai,7,10508078,8212409,61,Yes
P0149,Project_P0149,Hyderabad,12,31454217,33348804,113,Yes
P0150,Project_P0150,Hyderabad,42,11428388,13644981,113,Yes
P0151,Project_P0151,Bengaluru,97,25850317,18598230,78,No
P0152,Project_P0152,Mumbai,14,31145394,25548447,23,Yes
P0153,Project_P0153,Delhi,62,21563161,10539957,92,No
P0154,Project_P0154,Hyderabad,93,7767145,3064965,10,Yes
P0155,Project_P0155,Chennai,88,49161263,56772932,52,Yes
P0156,Project_P0156,Mumbai,97,21218440,13504210,39,Yes
P0157,Project_P0157,Bengaluru,13,21468485,15955924,74,Yes
P0158,Project_P0158,Bengaluru,7,34348883,27775262,37,Yes
P0159,Project_P0159,Delhi,57,48478310,15801244,103,Yes
P0160,Project_P0160,Hyderabad,72,30041563,17306057,14,No
P0161,Project_P0161,Hyderabad,53,37191435,39734404,38,Yes
P0162,Project_P0162,Delhi,82,9927425,11346965,21,Yes
P0163,Project_P0163,Bengaluru,23,22336458,23781426,85,Yes
P0164,Project_P0164,Hyderabad,84,14683243,6475371,89,No
P0165,Project_P0165,Hyderabad,63,47176544,15264624,65,No
P0166,Project_P0166,Mumbai,21,9914994,4364595,54,Yes
P0167,Project_P0167,Chennai,91,44725864,26488898,96,No
P0168,Project_P0168,Hyderabad,87,13066145,8098587,57,Yes
P0169,Project_P0169,Bengaluru,8,20818781,18544998,101,Yes
P0170,Project_P0170,Mumbai,86,6439884,6861880,30,No
P0171,Project_P0171,Hyderabad,27,27396881,15062049,111,Yes
P0172,Project_P0172,Chennai,39,16814976,5899715,37,Yes
P0173,Project_P0173,Chennai,19,12790211,9154209,26,Yes
P0174,Project_P0174,Bengaluru,78,45861855,46668623,87,No
P0175,Project_P0175,Bengaluru,92,44765603,29290367,51,No
P0176,Project_P0176,Hyderabad,19,35511493,13000479,109,Yes
P0177,Project_P0177,Mumbai,94,28176616,25855802,98,No
P0178,Project_P0178,Hyderabad,82,23481545,19163452,30,Yes
P0179,Project_P0179,Delhi,58,42057344,39982048,78,No
P0180,Project_P0180,Delhi,10,26259507,13960380,51,Yes
P0181,Project_P0181,Mumbai,33,6263029,6326768,56,Yes
P0182,Project_P0182,Mumbai,73,12482089,8635932,18,No
P0183,Project_P0183,Hyderabad,77,32673086,19118417,20,No
P0184,Project_P0184,Delhi,52,48459202,42477998,15,Yes
P0185,Project_P0185,Hyderabad,75,42697460,32744391,93,Yes
P0186,Project_P0186,Bengaluru,88,42874861,40807030,34,No
P0187,Project_P0187,Bengaluru,19,19566874,10789388,19,Yes
P0188,Project_P0188,Delhi,59,10606788,4301038,81,Yes
P0189,Project_P0189,Delhi,86,29617269,27837880,90,Yes
P0190,Project_P0190,Bengaluru,41,35842406,30004277,73,No
P0191,Project_P0191,Delhi,65,24078704,24290885,41,Yes
P0192,Project_P0192,Delhi,100,34500382,21686391,77,No
P0193,Project_P0193,Delhi,27,12461063,9974077,34,Yes
P0194,Project_P0194,Bengaluru,8,29392618,30064776,107,Yes
P0195,Project_P0195,Hyderabad,94,43981208,26263215,91,No
P0196,Project_P0196,Mumbai,18,11790691,7565541,49,Yes
P0197,Project_P0197,Mumbai,58,14505931,8836152,19,No
P0198,Project_P0198,Hyderabad,84,31357352,20865292,104,Yes
P0199,Project_P0199,Mumbai,28,33971687,20675695,82,Yes
P0200,Project_P0200,Delhi,88,33450312,37594859,20,Yes
P0201,Project_P0201,Delhi,47,16564779,12549764,71,Yes
P0202,Project_P0202,Delhi,21,42784170,39079418,53,Yes
P0203,Project_P0203,Bengaluru,7,21994873,20571134,107,Yes
P0204,Project_P0204,Hyderabad,87,39154080,31328917,24,Yes
P0205,Project_P0205,Delhi,52,10431891,5991330,58,Yes
P0206,Project_P0206,Mumbai,98,40988259,16095960,82,Yes
P0207,Project_P0207,Mumbai,47,29802579,33076252,120,Yes
P0208,Project_P0208,Chennai,71,30460991,33302234,102,No
P0209,Project_P0209,Chennai,98,41262096,21290101,58,No
P0210,Project_P0210,Bengaluru,16,18816233,9897207,48,Yes
P0211,Project_P0211,Hyderabad,95,27727627,12286894,107,No
P0212,Project_P0212,Delhi,45,48789746,57614851,78,Yes
P0213,Project_P0213,Bengaluru,36,45179789,32103661,85,No
P0214,Project_P0214,Delhi,74,33962516,27307244,35,Yes
P0215,Project_P0215,Chennai,46,29445435,29104727,33,Yes
P0216,Project_P0216,Chennai,82,44302628,24315157,28,Yes
P0217,Project_P0217,Bengaluru,29,44813336,22221046,43,Yes
P0218,Project_P0218,Delhi,33,8732351,8767819,12,No
P0219,Project_P0219,Chennai,43,26124358,8177799,62,Yes
P0220,Project_P0220,Bengaluru,44,45194851,33488827,40,Yes
P0221,Project_P0221,Delhi,83,25503502,21484304,26,Yes
P0222,Project_P0222,Mumbai,11,32397572,19464292,101,Yes
P0223,Project_P0223,Bengaluru,58,25086916,14957814,71,No
P0224,Project_P0224,Bengaluru,86,45986768,22069349,105,No
P0225,Project_P0225,Hyderabad,76,8405127,2696462,18,No
P0226,Project_P0226,Chennai,9,17861909,13960067,74,Yes
P0227,Project_P0227,Delhi,85,30815772,21009861,101,No
P0228,Project_P0228,Mumbai,14,9271985,10258161,25,Yes
P0229,Project_P0229,Hyderabad,34,46971489,31275899,120,Yes
P0230,Project_P0230,Mumbai,23,26930191,25487209,41,No
P0231,Project_P0231,Chennai,33,11899293,4519685,118,Yes
P0232,Project_P0232,Chennai,18,38739534,19394837,22,Yes
P0233,Project_P0233,Bengaluru,56,34706650,39616268,83,No
P0234,Project_P0234,Hyderabad,74,19087925,11524345,54,No
P0235,Project_P0235,Chennai,49,14856884,6931300,29,Yes
P0236,Project_P0236,Mumbai,95,21376580,10730747,29,No
P0237,Project_P0237,Chennai,57,45311342,23427191,24,Yes
P0238,Project_P0238,Chennai,55,46138118,38709679,33,Yes
P0239,Project_P0239,Delhi,9,36528501,38576804,38,Yes
P0240,Project_P0240,Delhi,83,48678299,27753489,79,No
P0241,Project_P0241,Delhi,21,14141407,12736823,19,Yes
P0242,Project_P0242,Chennai,28,19069724,10051142,112,Yes
P0243,Project_P0243,Delhi,60,46251823,49929178,77,No
P0244,Project_P0244,Chennai,98,21700748,15407226,72,Yes
P0245,Project_P0245,Mumbai,84,30710736,34434721,101,No
P0246,Project_P0246,Bengaluru,80,40296777,31019199,78,Yes
P0247,Project_P0247,Hyderabad,59,38913235,23065228,98,Yes
P0248,Project_P0248,Delhi,65,40531603,47238160,45,Yes
P0249,Project_P0249,Delhi,6,13041944,7850868,21,Yes
P0250,Project_P0250,Chennai,77,28848982,9066467,33,Yes
P0251,Project_P0251,Hyderabad,18,34249904,23551988,113,Yes
P0252,Project_P0252,Delhi,96,47635980,30631736,62,No
P0253,Project_P0253,Chennai,50,32237602,32975661,65,Yes
P0254,Project_P0254,Delhi,22,12978626,7098704,70,Yes
P0255,Project_P0255,Chennai,22,47052348,33259698,28,Yes
P0256,Project_P0256,Hyderabad,81,10502444,7498695,20,No
P0257,Project_P0257,Chennai,80,48404224,15842242,83,Yes
P0258,Project_P0258,Mumbai,96,27242953,10979318,80,Yes
P0259,Project_P0259,Delhi,22,26573527,18205967,81,Yes
P0260,Project_P0260,Mumbai,66,19347491,12072373,49,Yes
P0261,Project_P0261,Chennai,11,9644210,7859551,72,Yes
P0262,Project_P0262,Mumbai,13,12718179,6335692,49,Yes
P0263,Project_P0263,Delhi,55,12979095,8273641,64,No
P0264,Project_P0264,Hyderabad,24,13848596,8366659,42,Yes
P0265,Project_P0265,Hyderabad,31,29073836,16696881,106,No
P0266,Project_P0266,Delhi,95,21037212,11886436,54,Yes
P0267,Project_P0267,Mumbai,42,31395326,37552156,111,No
P0268,Project_P0268,Mumbai,5,41723894,49145476,118,Yes
P0269,Project_P0269,Chennai,71,16829508,10218875,66,No
P0270,Project_P0270,Mumbai,32,42371167,43642445,119,Yes
P0271,Project_P0271,Hyderabad,23,36799356,37271273,81,Yes
P0272,Project_P0272,Delhi,65,45814036,40900657,35,Yes
P0273,Project_P0273,Hyderabad,97,37945396,24902657,120,No
P0274,Project_P0274,Hyderabad,42,10034015,8152673,120,No
P0275,Project_P0275,Delhi,87,9709905,6396780,70,No
P0276,Project_P0276,Hyderabad,58,34031402,24595852,67,Yes
P0277,Project_P0277,Delhi,86,47281562,27060568,28,No
P0278,Project_P0278,Mumbai,5,49056438,28941898,96,Yes
P0279,Project_P0279,Bengaluru,99,6937066,7122869,66,No
P0280,Project_P0280,Delhi,89,23989308,10292406,108,Yes
P0281,Project_P0281,Bengaluru,91,22437138,10367153,36,No
P0282,Project_P0282,Chennai,52,22147950,7079394,100,Yes
P0283,Project_P0283,Bengaluru,28,13983885,13066885,25,Yes
P0284,Project_P0284,Delhi,85,48812088,45779035,57,No
P0285,Project_P0285,Mumbai,20,23196329,25021325,22,Yes
P0286,Project_P0286,Mumbai,28,26556948,12815840,81,No
P0287,Project_P0287,Hyderabad,36,20164712,13581991,13,No
P0288,Project_P0288,Bengaluru,73,42872422,13512866,112,No
P0289,Project_P0289,Mumbai,96,36079613,11624679,47,No
P0290,Project_P0290,Mumbai,82,37669775,18301974,48,Yes
P0291,Project_P0291,Mumbai,59,35485352,14282881,56,No
P0292,Project_P0292,Hyderabad,13,31492225,25696007,73,Yes
P0293,Project_P0293,Mumbai,100,39987295,44790075,64,Yes
P0294,Project_P0294,Bengaluru,89,48041781,20858651,33,No
P0295,Project_P0295,Bengaluru,97,38634756,27874579,35,No
P0296,Project_P0296,Chennai,42,34578030,39983890,92,No
P0297,Project_P0297,Mumbai,51,41166142,33510647,39,Yes
P0298,Project_P0298,Bengaluru,88,22037720,21777336,51,No
P0299,Project_P0299,Delhi,8,11928024,9460580,114,Yes
P0300,Project_P0300,Mumbai,51,26991013,22695672,23,Yes
P0301,Project_P0301,Chennai,18,10503121,11142215,99,Yes
P0302,Project_P0302,Bengaluru,10,8332301,6910000,87,Yes
P0303,Project_P0303,Mumbai,45,26397394,24039451,65,No
P0304,Project_P0304,Delhi,69,47489426,31394036,111,Yes
P0305,Project_P0305,Hyderabad,44,15071781,18064377,91,No
P0306,Project_P0306,Delhi,74,24902357,21229528,85,Yes
P0307,Project_P0307,Hyderabad,60,28404115,25226393,105,Yes
P0308,Project_P0308,Chennai,36,32887047,15565309,41,Yes
P0309,Project_P0309,Mumbai,89,35653271,21219230,76,No
P0310,Project_P0310,Chennai,100,30244440,25741171,114,No
P0311,Project_P0311,Delhi,95,12415491,12939073,10,Yes
P0312,Project_P0312,Bengaluru,81,43542946,45971869,49,Yes
P0313,Project_P0313,Chennai,28,7929304,9269639,16,No
P0314,Project_P0314,Chennai,38,44054156,26854007,105,Yes
P0315,Project_P0315,Hyderabad,83,28676878,16927733,10,No
P0316,Project_P0316,Chennai,42,34977559,20216612,74,Yes
P0317,Project_P0317,Mumbai,60,40779709,20719445,68,Yes
P0318,Project_P0318,Chennai,56,49163714,16678670,74,No
P0319,Project_P0319,Hyderabad,52,45371754,41892080,89,No
P0320,Project_P0320,Mumbai,97,19010476,22549579,94,No
P0321,Project_P0321,Mumbai,94,37956761,43822575,14,Yes
P0322,Project_P0322,Hyderabad,12,11961266,10453112,51,Yes
P0323,Project_P0323,Bengaluru,20,8841444,9164158,57,Yes
P0324,Project_P0324,Chennai,7,29993565,33649421,64,Yes
P0325,Project_P0325,Delhi,66,44651978,41105289,101,Yes
P0326,Project_P0326,Mumbai,42,19635403,20007515,62,No
P0327,Project_P0327,Mumbai,64,14994711,17755886,62,Yes
P0328,Project_P0328,Mumbai,11,23091983,19232119,71,Yes
P0329,Project_P0329,Mumbai,59,15723161,12557925,38,Yes
P0330,Project_P0330,Chennai,53,10150044,9928219,21,Yes
P0331,Project_P0331,Delhi,56,26508558,21458606,19,Yes
P0332,Project_P0332,Bengaluru,14,49643040,53373351,63,Yes
P0333,Project_P0333,Chennai,99,20319255,11459248,14,No
P0334,Project_P0334,Bengaluru,52,22347976,13419150,62,Yes
P0335,Project_P0335,Chennai,61,41373899,32076779,85,Yes
P0336,Project_P0336,Bengaluru,68,26558852,9029674,25,Yes
P0337,Project_P0337,Bengaluru,23,6583563,7241292,30,Yes
P0338,Project_P0338,Mumbai,13,25716305,11194583,46,Yes
P0339,Project_P0339,Chennai,31,38929545,16551914,19,Yes
P0340,Project_P0340,Chennai,77,31411313,25088723,102,Yes
P0341,Project_P0341,Bengaluru,72,25031395,7555920,94,Yes
P0342,Project_P0342,Mumbai,40,46681787,52259204,14,Yes
P0343,Project_P0343,Delhi,38,5108439,4496454,73,Yes
P0344,Project_P0344,Bengaluru,57,45569668,26848276,24,Yes
P0345,Project_P0345,Chennai,99,10644010,4305799,11,No
P0346,Project_P0346,Mumbai,86,38095268,38668052,33,Yes
P0347,Project_P0347,Bengaluru,73,18278163,5527811,119,No
P0348,Project_P0348,Hyderabad,31,9174101,9653132,116,No
P0349,Project_P0349,Mumbai,94,10814329,3646958,62,No
P0350,Project_P0350,Mumbai,32,48622610,36780079,40,Yes
P0351,Project_P0351,Chennai,47,47934479,36790707,28,No
P0352,Project_P0352,Delhi,7,9677523,7794945,109,Yes
P0353,Project_P0353,Hyderabad,70,22904829,23540111,68,Yes
P0354,Project_P0354,Chennai,81,28876956,23695461,116,No
P0355,Project_P0355,Bengaluru,48,34747709,15832318,32,No
P0356,Project_P0356,Bengaluru,84,41079229,13081835,37,No
P0357,Project_P0357,Delhi,66,25350587,12247379,116,No
P0358,Project_P0358,Chennai,74,17269747,7862391,61,Yes
P0359,Project_P0359,Hyderabad,26,46417696,20111755,60,Yes
P0360,Project_P0360,Hyderabad,81,11500864,10109898,36,No
P0361,Project_P0361,Mumbai,81,40199928,44095979,30,Yes
P0362,Project_P0362,Chennai,30,49375892,31589325,93,Yes
P0363,Project_P0363,Delhi,48,5583533,2469827,83,Yes
P0364,Project_P0364,Delhi,41,48447495,33177992,71,Yes
P0365,Project_P0365,Bengaluru,61,35318636,27727652,52,Yes
P0366,Project_P0366,Chennai,79,15778904,11376659,70,Yes
P0367,Project_P0367,Bengaluru,59,36010616,26542071,55,Yes
P0368,Project_P0368,Chennai,52,21810944,8122880,55,Yes
P0369,Project_P0369,Bengaluru,54,35400625,16317757,94,Yes
P0370,Project_P0370,Bengaluru,7,25986429,21907042,10,Yes
P0371,Project_P0371,Chennai,38,12264179,11940359,77,Yes
P0372,Project_P0372,Chennai,46,17930230,9031783,21,No
P0373,Project_P0373,Bengaluru,5,44397483,37785008,58,Yes
P0374,Project_P0374,Hyderabad,89,17851420,16883734,109,Yes
P0375,Project_P0375,Mumbai,89,45241047,21017642,88,Yes
P0376,Project_P0376,Mumbai,29,16642408,10109415,114,Yes
P0377,Project_P0377,Bengaluru,28,30103350,35274786,85,No
P0378,Project_P0378,Hyderabad,91,39922134,39087194,92,Yes
P0379,Project_P0379,Hyderabad,54,19324065,7473028,44,Yes
P0380,Project_P0380,Bengaluru,38,14912189,10789651,66,Yes
P0381,Project_P0381,Mumbai,62,45149569,52313102,14,Yes
P0382,Project_P0382,Hyderabad,64,16336680,10568113,57,Yes
P0383,Project_P0383,Bengaluru,68,6151178,7064694,55,Yes
P0384,Project_P0384,Delhi,12,22022047,13551509,108,Yes
P0385,Project_P0385,Chennai,29,21684051,14205172,72,Yes
P0386,Project_P0386,Bengaluru,5,23291561,25780252,36,Yes
P0387,Project_P0387,Chennai,61,36588855,25472895,87,Yes
P0388,Project_P0388,Hyderabad,73,45765493,42777029,104,No
P0389,Project_P0389,Hyderabad,34,13787603,10055125,22,Yes
P0390,Project_P0390,Bengaluru,42,9709838,6618023,71,Yes
P0391,Project_P0391,Mumbai,47,44302249,23157758,13,Yes
P0392,Project_P0392,Delhi,67,7898728,2720644,120,No
P0393,Project_P0393,Hyderabad,77,22842228,7666182,16,Yes
P0394,Project_P0394,Bengaluru,94,32033454,10524252,67,No
P0395,Project_P0395,Chennai,93,24391954,10037474,54,No
P0396,Project_P0396,Hyderabad,44,11290007,7634597,37,Yes
P0397,Project_P0397,Bengaluru,54,17153027,11906342,30,Yes
P0398,Project_P0398,Chennai,81,9458429,7806105,36,Yes
P0399,Project_P0399,Hyderabad,84,43981406,38090392,24,Yes
P0400,Project_P0400,Bengaluru,45,32747826,36324760,104,Yes
P0401,Project_P0401,Delhi,23,26178117,30108880,120,No
P0402,Project_P0402,Bengaluru,8,40369847,46260096,83,Yes
P0403,Project_P0403,Delhi,18,46646191,50964402,46,Yes
P0404,Project_P0404,Chennai,45,36920744,30103463,72,Yes
P0405,Project_P0405,Bengaluru,46,14499395,17394619,83,Yes
P0406,Project_P0406,Hyderabad,94,22626146,26643876,33,No
P0407,Project_P0407,Bengaluru,18,28836838,27490172,116,Yes
P0408,Project_P0408,Hyderabad,43,17718361,15255988,69,No
P0409,Project_P0409,Hyderabad,56,6913473,4528358,18,Yes
P0410,Project_P0410,Chennai,51,32494661,15717541,31,Yes
P0411,Project_P0411,Hyderabad,81,28678088,24902422,42,No
P0412,Project_P0412,Chennai,35,6552621,6678073,115,Yes
P0413,Project_P0413,Mumbai,51,26831131,9252932,114,Yes
P0414,Project_P0414,Mumbai,61,38271400,31860287,116,No
P0415,Project_P0415,Delhi,53,11917700,3782608,114,Yes
P0416,Project_P0416,Delhi,43,35437774,39985586,120,Yes
P0417,Project_P0417,Bengaluru,40,32920276,35045692,52,Yes
P0418,Project_P0418,Hyderabad,5,30986313,11504418,119,Yes
P0419,Project_P0419,Mumbai,5,49611258,16214418,68,Yes
P0420,Project_P0420,Bengaluru,97,37929272,43306657,17,No
P0421,Project_P0421,Hyderabad,34,40364628,25296001,63,Yes
P0422,Project_P0422,Bengaluru,16,29705461,17041580,66,Yes
P0423,Project_P0423,Mumbai,11,10495549,7091518,89,Yes
P0424,Project_P0424,Hyderabad,35,26773363,26913333,38,Yes
P0425,Project_P0425,Delhi,81,37511766,15308040,21,No
P0426,Project_P0426,Hyderabad,6,47088660,44867243,76,Yes
P0427,Project_P0427,Delhi,94,14022252,9048067,21,Yes
P0428,Project_P0428,Mumbai,90,36068087,32084080,101,Yes
P0429,Project_P0429,Hyderabad,22,22697344,14920635,99,No
