Project_ID,Workers,Engineers,Cranes,Excavators,Cement,Steel,Bricks,Shortage
P0117,41,9,8,3,Available,Available,Low,No
P0118,114,12,6,6,Available,Available,Low,Yes
P0119,102,4,4,5,Available,Available,Available,No
P0120,27,14,4,5,Available,Available,Available,Yes
P0121,25,7,4,3,Low,Available,Available,Yes
P0122,82,15,4,6,Available,Available,Low,No
P0123,85,10,6,1,Available,Available,Available,No
P0124,14,2,4,4,Low,Low,Available,No
P0125,118,5,4,6,Available,Available,Low,No
P0126,25,5,7,6,Available,Low,Low,Yes
P0127,91,4,4,1,Low,Available,Available,Yes
P0128,90,15,2,2,Available,Low,Low,No
P0129,49,6,3,6,Low,Available,Available,No
P0130,14,14,3,1,Low,Available,Available,Yes
P0131,48,9,5,4,Low,Available,Available,Yes
P0132,34,2,8,6,Low,Low,Low,Yes
P0133,70,15,3,2,Low,Available,Available,Yes
P0134,113,4,6,2,Low,Low,Available,No
P0135,73,6,7,1,Available,Available,Available,Yes
P0136,10,3,5,6,Available,Available,Available,No
P0137,38,13,6,1,Low,Available,Low,Yes
P0138,16,7,6,6,Available,Low,Low,Yes
P0139,56,6,1,5,Low,Low,Available,No
P0140,89,2,6,5,Low,Available,Available,Yes
P0141,106,4,4,5,Available,Available,Low,Yes
P0142,27,10,1,2,Available,Low,Available,No
P0143,41,11,2,6,Available,Available,Low,No
P0144,19,10,4,3,Available,Available,Available,No
P0145,98,15,4,3,Low,Available,Low,Yes
P0146,105,14,8,4,Low,Low,Low,Yes
P0147,68,4,7,1,Low,Low,Available,Yes
P0148,61,13,3,6,Available,Low,Low,Yes
P0149,113,11,4,3,Low,Available,Low,No
P0150,113,2,2,3,Available,Available,Available,Yes
P0151,78,6,5,4,Low,Low,Low,Yes
P0152,23,8,1,1,Low,Low,Available,Yes
P0153,92,15,3,1,Available,Low,Low,No
P0154,10,7,4,6,Low,Available,Available,Yes
P0155,52,2,8,5,Low,Available,Low,Yes
P0156,39,12,5,1,Available,Low,Low,Yes
P0157,74,6,8,1,Available,Low,Low,Yes
P0158,37,10,6,6,Low,Available,Available,No
P0159,103,5,2,1,Available,Low,Low,Yes
P0160,14,2,7,3,Low,Available,Available,Yes
P0161,38,14,3,6,Low,Low,Available,No
P0162,21,14,7,6,Low,Low,Available,Yes
P0163,85,4,8,1,Available,Low,Available,No
P0164,89,12,6,5,Available,Available,Available,Yes
P0165,65,13,5,2,Available,Low,Available,Yes
P0166,54,11,1,3,Low,Available,Low,Yes
P0167,96,12,8,3,Low,Low,Available,Yes
P0168,57,10,1,5,Available,Available,Low,Yes
P0169,101,14,2,4,Available,Available,Low,Yes
P0170,30,2,1,1,Low,Available,Available,No
P0171,111,10,1,3,Low,Available,Low,Yes
P0172,37,11,7,2,Low,Low,Available,Yes
P0173,26,5,7,3,Available,Low,Available,Yes
P0174,87,3,8,5,Low,Low,Available,Yes
P0175,51,14,5,6,Available,Low,Available,No
P0176,109,12,4,5,Available,Available,Available,No
P0177,98,5,2,1,Low,Low,Low,Yes
P0178,30,2,5,5,Available,Low,Low,Yes
P0179,78,15,2,1,Available,Available,Available,No
P0180,51,6,5,1,Available,Low,Available,Yes
P0181,56,12,3,4,Available,Available,Available,Yes
P0182,18,12,4,2,Low,Low,Low,No
P0183,20,5,1,6,Low,Low,Available,No
P0184,15,14,6,3,Low,Low,Available,Yes
P0185,93,5,1,3,Available,Available,Low,No
P0186,34,4,1,4,Available,Available,Available,Yes
P0187,19,4,6,3,Available,Available,Low,Yes
P0188,81,11,3,4,Available,Low,Available,No
P0189,90,15,3,1,Available,Available,Low,Yes
P0190,73,3,5,2,Available,Available,Available,Yes
P0191,41,2,6,3,Low,Available,Low,No
P0192,77,7,3,5,Low,Available,Low,Yes
P0193,34,4,6,4,Low,Low,Low,Yes
P0194,107,2,6,1,Available,Low,Low,No
P0195,91,3,3,1,Available,Low,Available,Yes
P0196,49,10,1,1,Low,Low,Low,Yes
P0197,19,14,1,4,Low,Low,Available,No
P0198,104,14,3,1,Low,Available,Available,Yes
P0199,82,5,4,3,Low,Low,Low,No
P0200,20,5,4,5,Low,Low,Low,No
P0201,71,15,1,4,Low,Low,Low,No
P0202,53,12,1,6,Available,Available,Available,No
P0203,107,6,4,1,Low,Low,Low,No
P0204,24,5,8,3,Low,Low,Available,No
P0205,58,12,6,2,Low,Low,Low,Yes
P0206,82,12,8,1,Low,Low,Low,No
P0207,120,14,3,5,Available,Low,Low,Yes
P0208,102,4,7,1,Available,Available,Available,Yes
P0209,58,10,1,5,Low,Available,Available,Yes
P0210,48,8,7,4,Low,Available,Available,No
P0211,107,3,6,5,Low,Available,Available,Yes
P0212,78,5,5,3,Low,Low,Available,No
P0213,85,5,6,1,Available,Available,Available,Yes
P0214,35,13,3,2,Available,Available,Low,No
P0215,33,9,2,1,Low,Low,Low,No
P0216,28,6,6,2,Low,Low,Low,No
P0217,43,8,5,5,Low,Low,Available,Yes
P0218,12,6,8,2,Available,Low,Available,Yes
P0219,62,5,7,2,Low,Available,Available,No
P0220,40,11,5,6,Available,Available,Available,Yes
P0221,26,10,6,1,Low,Low,Low,No
P0222,101,6,1,1,Low,Available,Available,No
P0223,71,5,4,6,Available,Low,Low,Yes
P0224,105,10,5,6,Low,Low,Available,Yes
P0225,18,14,6,2,Low,Available,Available,No
P0226,74,6,8,5,Available,Low,Low,No
P0227,101,14,3,2,Low,Low,Low,Yes
P0228,25,9,7,4,Low,Low,Available,Yes
P0229,120,2,3,2,Low,Low,Available,Yes
P0230,41,6,8,3,Available,Low,Low,No
P0231,118,4,5,4,Available,Low,Available,Yes
P0232,22,9,5,5,Available,Low,Low,Yes
P0233,83,14,4,4,Available,Low,Available,Yes
P0234,54,9,3,3,Low,Available,Low,No
P0235,29,10,4,3,Low,Available,Low,Yes
P0236,29,11,3,6,Low,Available,Low,Yes
P0237,24,14,5,5,Low,Available,Low,Yes
P0238,33,9,1,4,Available,Low,Available,No
P0239,38,5,2,5,Available,Low,Available,Yes
P0240,79,3,1,4,Low,Low,Low,No
P0241,19,13,6,3,Low,Low,Available,No
P0242,112,4,2,2,Available,Low,Available,No
P0243,77,5,3,6,Low,Low,Low,Yes
P0244,72,8,8,3,Low,Low,Low,No
P0245,101,9,6,3,Available,Low,Available,Yes
P0246,78,12,8,1,Available,Available,Available,Yes
P0247,98,15,3,6,Low,Low,Low,No
P0248,45,12,4,4,Available,Low,Low,Yes
P0249,21,3,2,5,Low,Available,Low,No
P0250,33,12,1,4,Low,Low,Low,No
P0251,113,10,4,5,Available,Low,Available,No
P0252,62,7,2,6,Low,Available,Low,No
P0253,65,15,4,5,Available,Available,Available,Yes
P0254,70,14,6,4,Low,Available,Available,No
P0255,28,2,2,4,Available,Low,Available,No
P0256,20,7,8,1,Available,Low,Low,No
P0257,83,5,5,6,Available,Available,Available,No
P0258,80,14,8,2,Available,Available,Low,Yes
P0259,81,6,2,1,Low,Available,Low,Yes
P0260,49,4,8,6,Available,Available,Low,No
P0261,72,13,5,5,Available,Low,Available,Yes
P0262,49,6,3,2,Low,Available,Available,No
P0263,64,5,8,2,Low,Low,Low,No
P0264,42,13,4,4,Low,Available,Low,No
P0265,106,15,7,3,Low,Low,Low,Yes
P0266,54,10,1,1,Available,Low,Low,No
P0267,111,8,2,3,Available,Low,Available,Yes
P0268,118,13,4,1,Available,Available,Low,No
P0269,66,5,3,6,Low,Low,Low,Yes
P0270,119,3,8,4,Low,Available,Available,No
P0271,81,5,2,4,Available,Available,Available,No
P0272,35,6,7,3,Available,Low,Low,Yes
P0273,120,12,7,1,Available,Low,Available,No
P0274,120,5,7,1,Available,Available,Low,No
P0275,70,5,6,1,Low,Available,Low,No
P0276,67,12,5,1,Available,Low,Low,No
P0277,28,6,4,3,Low,Available,Low,No
P0278,96,8,7,5,Low,Available,Low,Yes
P0279,66,6,5,3,Available,Available,Available,Yes
P0280,108,15,7,1,Available,Available,Low,Yes
P0281,36,4,3,3,Available,Available,Available,No
P0282,100,4,3,1,Low,Low,Low,No
P0283,25,12,3,4,Low,Low,Low,No
P0284,57,6,6,4,Low,Low,Available,Yes
P0285,22,10,3,6,Low,Low,Low,Yes
P0286,81,10,2,2,Low,Available,Low,Yes
P0287,13,15,3,3,Low,Low,Available,Yes
P0288,112,15,6,2,Low,Available,Available,No
P0289,47,10,8,6,Low,Available,Available,Yes
P0290,48,3,1,2,Available,Available,Low,Yes
P0291,56,15,4,2,Low,Available,Low,No
P0292,73,3,3,6,Low,Available,Available,No
P0293,64,15,6,6,Available,Available,Available,Yes
P0294,33,11,8,3,Low,Available,Low,Yes
P0295,35,8,1,3,Low,Low,Available,No
P0296,92,2,5,4,Low,Low,Available,No
P0297,39,13,4,2,Available,Low,Low,Yes
P0298,51,6,3,5,Available,Low,Available,Yes
P0299,114,14,7,2,Available,Available,Low,No
P0300,23,4,6,4,Available,Available,Available,Yes
P0301,99,14,1,6,Available,Available,Low,No
P0302,87,15,6,5,Low,Available,Low,No
P0303,65,11,8,3,Available,Available,Low,Yes
P0304,111,6,6,6,Available,Available,Available,Yes
P0305,91,15,3,6,Available,Available,Available,Yes
P0306,85,4,7,1,Low,Available,Low,Yes
P0307,105,3,1,2,Low,Available,Low,No
P0308,41,12,2,5,Available,Available,Available,No
P0309,76,9,7,4,Low,Low,Low,Yes
P0310,114,11,2,5,Available,Available,Low,No
P0311,10,9,8,6,Low,Available,Low,No
P0312,49,2,5,3,Available,Low,Low,No
P0313,16,4,2,5,Low,Available,Available,No
P0314,105,13,7,2,Low,Available,Low,Yes
P0315,10,12,2,2,Low,Low,Low,Yes
P0316,74,8,6,5,Available,Low,Available,No
P0317,68,8,6,6,Available,Available,Available,Yes
P0318,74,6,7,6,Available,Available,Low,Yes
P0319,89,3,8,6,Low,Available,Available,Yes
P0320,94,15,8,5,Low,Available,Available,No
P0321,14,14,3,2,Available,Low,Available,No
P0322,51,9,7,4,Available,Low,Low,Yes
P0323,57,12,6,6,Available,Available,Low,Yes
P0324,64,12,5,4,Available,Low,Low,Yes
P0325,101,4,7,1,Low,Available,Available,No
P0326,62,4,2,4,Low,Available,Low,Yes
P0327,62,3,7,5,Low,Low,Available,No
P0328,71,3,8,4,Available,Available,Low,Yes
P0329,38,15,3,4,Available,Available,Available,Yes
P0330,21,8,5,4,Available,Available,Available,Yes
P0331,19,10,6,1,Available,Low,Low,Yes
P0332,63,12,8,3,Available,Low,Available,Yes
P0333,14,9,5,6,Low,Available,Available,No
P0334,62,5,8,4,Low,Low,Available,No
P0335,85,14,1,4,Low,Available,Low,Yes
P0336,25,6,6,2,Available,Low,Low,Yes
P0337,30,14,3,4,Available,Low,Available,No
P0338,46,10,4,1,Available,Available,Available,Yes
P0339,19,13,8,5,Available,Low,Available,Yes
P0340,102,8,8,4,Available,Low,Available,Yes
P0341,94,13,5,4,Low,Low,Available,Yes
P0342,14,11,3,1,Available,Low,Available,No
P0343,73,12,3,5,Low,Low,Low,No
P0344,24,12,8,1,Available,Available,Low,No
P0345,11,15,7,6,Available,Low,Available,Yes
P0346,33,3,5,3,Available,Available,Low,Yes
P0347,119,8,3,3,Available,Low,Low,No
P0348,116,4,2,4,Available,Low,Available,No
P0349,62,9,8,1,Low,Available,Available,No
P0350,40,4,6,1,Available,Available,Low,Yes
P0351,28,14,1,3,Available,Available,Low,Yes
P0352,109,13,1,2,Available,Low,Available,Yes
P0353,68,15,2,2,Low,Low,Low,No
P0354,116,2,4,4,Low,Low,Available,No
P0355,32,8,2,3,Available,Low,Low,No
P0356,37,12,4,2,Available,Available,Available,Yes
P0357,116,9,5,3,Available,Low,Available,No
P0358,61,15,4,4,Low,Available,Available,No
P0359,60,12,2,4,Low,Low,Low,No
P0360,36,7,7,5,Available,Low,Low,Yes
P0361,30,8,5,6,Low,Available,Available,No
P0362,93,6,8,4,Low,Low,Available,No
P0363,83,9,7,6,Low,Low,Available,No
P0364,71,4,3,6,Available,Low,Available,No
P0365,52,2,7,2,Available,Available,Available,Yes
P0366,70,7,1,2,Available,Available,Available,Yes
P0367,55,8,1,3,Low,Available,Low,Yes
P0368,55,10,3,5,Low,Low,Available,Yes
P0369,94,10,5,3,Available,Low,Available,No
P0370,10,2,3,4,Low,Available,Available,No
P0371,77,4,8,1,Low,Available,Available,No
P0372,21,13,5,6,Low,Available,Available,Yes
P0373,58,5,5,2,Available,Low,Available,No
P0374,109,14,7,5,Low,Low,Low,No
P0375,88,7,6,2,Low,Available,Available,No
P0376,114,8,7,4,Available,Available,Low,Yes
P0377,85,10,6,1,Low,Available,Low,Yes
P0378,92,8,5,3,Low,Low,Low,Yes
P0379,44,2,8,1,Low,Available,Low,Yes
P0380,66,10,5,5,Low,Low,Low,Yes
P0381,14,11,8,6,Low,Available,Available,Yes
P0382,57,4,2,3,Available,Available,Low,No
P0383,55,6,3,3,Low,Low,Low,No
P0384,108,13,6,1,Low,Available,Available,Yes
P0385,72,13,2,1,Low,Available,Available,No
P0386,36,6,3,2,Available,Available,Available,Yes
P0387,87,12,4,4,Low,Available,Available,Yes
P0388,104,10,4,4,Low,Low,Low,Yes
P0389,22,3,5,2,Low,Available,Available,Yes
P0390,71,8,8,6,Low,Available,Available,Yes
P0391,13,7,4,3,Low,Low,Available,Yes
P0392,120,11,8,5,Available,Available,Low,Yes
P0393,16,4,2,2,Low,Available,Low,No
P0394,67,13,6,4,Available,Available,Available,Yes
P0395,54,15,8,2,Low,Available,Low,No
P0396,37,5,2,4,Available,Low,Low,Yes
P0397,30,5,6,5,Available,Available,Low,Yes
P0398,36,3,4,6,Low,Available,Available,No
P0399,24,14,4,1,Low,Low,Available,No
P0400,104,9,4,1,Available,Low,Low,Yes
P0401,120,2,5,6,Low,Available,Available,Yes
P0402,83,6,6,5,Low,Available,Available,Yes
P0403,46,11,7,3,Available,Low,Available,Yes
P0404,72,12,2,6,Available,Available,Available,No
P0405,83,11,8,6,Available,Low,Available,Yes
P0406,33,13,6,3,Low,Low,Low,Yes
P0407,116,12,8,4,Available,Low,Available,Yes
P0408,69,5,2,2,Low,Low,Available,Yes
P0409,18,4,7,1,Low,Low,Low,Yes
P0410,31,15,4,1,Available,Low,Available,Yes
P0411,42,5,4,6,Low,Low,Low,No
P0412,115,6,3,2,Available,Low,Available,No
P0413,114,14,7,5,Low,Low,Available,Yes
P0414,116,11,1,1,Available,Low,Low,No
P0415,114,3,5,2,Available,Available,Low,Yes
P0416,120,3,4,2,Available,Low,Low,No
P0417,52,10,8,6,Low,Available,Low,No
P0418,119,15,5,1,Available,Available,Low,Yes
P0419,68,14,3,4,Low,Available,Available,Yes
P0420,17,5,2,5,Low,Available,Available,Yes
P0421,63,8,4,3,Low,Low,Low,Yes
P0422,66,10,6,4,Available,Available,Available,Yes
P0423,89,14,2,4,Low,Low,Low,No
P0424,38,14,3,4,Low,Low,Low,Yes
P0425,21,14,7,6,Low,Low,Low,Yes
P0426,76,3,6,6,Available,Low,Available,No
P0427,21,6,5,2,Low,Available,Available,Yes
P0428,101,10,8,5,Available,Low,Available,No
P0429,99,11,6,4,Low,Available,Available,No
P0430,30,2,2,2,Low,Low,Low,No
P0431,20,13,7,1,Available,Available,Available,No
P0432,64,3,4,1,Available,Available,Available,Yes
P0433,100,6,5,2,Available,Low,Available,Yes
P0434,98,6,7,5,Available,Available,Low,No
P0435,112,15,3,6,Available,Low,Available,Yes
P0436,87,8,2,1,Available,Low,Available,Yes
P0437,88,14,2,1,Available,Available,Available,Yes
P0438,87,13,3,6,Low,Available,Available,No
P0439,114,12,5,5,Low,Available,Low,Yes
P0440,67,11,5,4,Available,Available,Low,Yes
P0441,70,9,6,5,Low,Low,Low,No
P0442,35,6,6,6,Low,Low,Available,No
P0443,15,4,5,5,Low,Available,Available,No
P0444,78,8,1,2,Available,Low,Available,Yes
P0445,23,13,3,4,Low,Available,Low,Yes
P0446,33,11,1,5,Low,Low,Available,Yes
P0447,81,9,2,4,Available,Available,Low,Yes
P0448,22,7,5,3,Available,Low,Available,No
P0449,108,10,7,5,Low,Low,Available,Yes
P0450,78,6,2,3,Available,Low,Available,No
P0451,68,10,8,2,Available,Available,Available,No
P0452,112,4,4,2,Available,Low,Low,Yes
P0453,63,13,5,6,Available,Available,Low,Yes
P0454,60,5,7,4,Low,Available,Low,Yes
P0455,28,13,5,1,Available,Available,Low,Yes
P0456,119,3,3,3,Low,Available,Low,No
P0457,19,15,5,1,Low,Low,Low,No
P0458,53,3,6,5,Low,Low,Low,No
P0459,30,6,5,1,Low,Low,Available,No
P0460,117,14,6,5,Available,Low,Available,Yes
P0461,97,6,4,4,Low,Available,Available,No
P0462,47,9,1,1,Available,Low,Available,Yes
P0463,66,9,1,4,Available,Low,Low,Yes
P0464,47,13,3,2,Low,Low,Low,No
P0465,103,15,5,5,Low,Low,Available,No
P0466,50,15,8,6,Low,Low,Low,Yes
P0467,108,11,7,6,Low,Low,Available,No
P0468,81,9,3,2,Low,Low,Available,No
P0469,105,3,7,4,Available,Low,Low,No
P0470,76,3,2,3,Low,Available,Low,No
P0471,46,15,6,2,Low,Available,Low,No
P0472,72,3,1,2,Low,Low,Available,Yes
P0473,44,13,2,2,Available,Low,Available,Yes
P0474,53,8,4,5,Available,Low,Low,Yes
P0475,65,12,5,2,Available,Available,Low,Yes
P0476,65,14,7,3,Low,Available,Low,No
P0477,50,15,1,2,Low,Available,Available,No
P0478,107,7,2,4,Low,Low,Available,Yes
P0479,38,11,3,5,Available,Available,Low,Yes
P0480,102,8,6,4,Available,Low,Available,No
P0481,108,9,6,6,Available,Available,Available,Yes
P0482,88,6,8,1,Low,Low,Available,No
P0483,119,4,1,3,Low,Low,Available,No
P0484,87,12,6,3,Available,Low,Available,Yes
P0485,60,3,6,2,Low,Low,Available,Yes
P0486,31,7,3,1,Low,Low,Available,No
P0487,67,13,4,3,Low,Low,Available,Yes
P0488,16,6,6,2,Available,Available,Low,No
P0489,19,13,4,6,Low,Available,Low,No
P0490,19,6,7,3,Available,Available,Available,Yes
P0491,120,7,5,3,Available,Low,Low,No
P0492,26,10,8,4,Available,Low,Low,No
P0493,82,14,1,3,Low,Available,Available,Yes
P0494,16,6,3,2,Low,Low,Low,Yes
P0495,26,11,6,2,Available,Available,Available,Yes
P0496,104,11,1,4,Low,Available,Available,No
P0497,70,11,4,4,Available,Available,Available,Yes
P0498,80,8,6,1,Low,Low,Low,No
P0499,21,14,1,5,Low,Available,Low,Yes
P0500,119,4,6,2,Low,Available,Available,Yes
P0501,10,3,7,6,Available,Low,Available,No
P0502,40,3,2,3,Available,Available,Low,No
P0503,69,4,3,1,Available,Low,Available,Yes
P0504,55,3,7,2,Low,Low,Low,Yes
P0505,19,3,2,1,Low,Available,Low,No
P0506,73,5,5,3,Available,Low,Low,Yes
P0507,80,8,6,2,Available,Low,Low,No
P0508,61,8,3,2,Available,Available,Low,Yes
P0509,57,14,3,4,Available,Available,Low,Yes
P0510,91,4,6,6,Low,Low,Low,Yes
P0511,100,5,7,1,Low,Available,Low,Yes
P0512,32,6,8,1,Low,Available,Low,No
P0513,89,6,1,3,Available,Available,Available,No
P0514,109,2,7,2,Available,Low,Available,No
P0515,83,4,3,3,Available,Low,Available,Yes
P0516,11,10,4,5,Low,Available,Available,Yes
P0517,118,4,6,3,Low,Low,Low,No
P0518,66,4,3,3,Low,Low,Available,No
P0519,27,9,3,1,Available,Available,Low,No
P0520,102,13,5,3,Available,Low,Available,Yes
P0521,109,3,2,4,Low,Low,Available,No
P0522,116,13,8,6,Available,Low,Available,Yes
P0523,55,6,3,6,Available,Available,Low,Yes
P0524,36,4,5,3,Available,Available,Available,Yes
P0525,35,15,5,4,Low,Available,Low,Yes
P0526,29,14,8,2,Available,Available,Low,No
P0527,97,2,1,1,Available,Available,Available,No
P0528,65,2,2,6,Low,Available,Low,No
P0529,28,8,1,6,Available,Available,Low,Yes
P0530,72,3,8,4,Low,Available,Available,No
P0531,106,8,7,2,Available,Low,Low,No
P0532,41,11,4,3,Low,Available,Low,No
P0533,97,9,4,4,Available,Available,Low,Yes
P0534,92,9,3,3,Available,Available,Available,No
P0535,90,15,7,6,Available,Available,Low,No
P0536,45,8,4,3,Available,Available,Low,No
P0537,32,5,4,5,Low,Low,Low,Yes
P0538,97,6,2,3,Low,Low,Low,Yes
P0539,25,11,2,3,Available,Available,Low,Yes
P0540,56,3,6,5,Available,Low,Available,No
P0541,68,8,4,4,Available,Available,Available,No
P0542,101,15,4,2,Low,Low,Low,Yes
P0543,118,12,6,4,Low,Available,Available,No
P0544,89,15,3,1,Available,Available,Available,No
P0545,99,6,5,5,Low,Low,Available,Yes
P0546,29,10,4,2,Available,Available,Available,No
P0547,23,3,1,3,Available,Low,Available,No
P0548,61,7,5,6,Low,Low,Low,Yes
P0549,58,5,5,5,Low,Available,Low,No
P0550,75,10,4,6,Available,Available,Available,Yes
P0551,48,2,1,3,Low,Available,Low,No
P0552,18,9,1,6,Low,Available,Low,Yes
P0553,18,15,2,2,Available,Low,Available,Yes
P0554,87,7,8,3,Low,Available,Low,No
P0555,102,9,2,1,Low,Available,Available,Yes
P0556,11,2,2,4,Low,Low,Available,No
P0557,110,11,1,5,Low,Available,Low,No
P0558,34,5,4,2,Low,Available,Available,No
P0559,67,8,5,4,Low,Low,Low,No
P0560,51,3,5,4,Low,Available,Available,No
P0561,16,6,4,4,Available,Low,Low,No
P0562,94,3,3,5,Low,Low,Low,No
P0563,98,8,3,4,Low,Low,Available,Yes
P0564,15,7,1,2,Low,Low,Available,No
P0565,39,12,5,2,Low,Available,Available,No
P0566,18,9,4,4,Low,Low,Available,No
P0567,61,10,1,3,Available,Available,Low,Yes
P0568,86,9,2,2,Available,Available,Low,Yes
P0569,103,10,5,3,Low,Available,Low,Yes
P0570,109,15,5,6,Available,Low,Available,No
P0571,40,10,7,1,Available,Available,Low,Yes
P0572,112,7,3,3,Low,Available,Low,Yes
P0573,11,13,1,6,Low,Low,Available,Yes
P0574,26,15,6,1,Low,Available,Low,Yes
P0575,106,5,1,2,Available,Available,Low,Yes
P0576,101,12,2,2,Available,Low,Available,Yes
P0577,52,2,2,3,Low,Low,Available,Yes
